T,g,feh,cfe
4000.0,5.0,-4.0,2.0700000000000003
4000.0,5.0,-4.0,2.140833333333333
4000.0,5.0,-4.0,2.211666666666667
4000.0,5.0,-4.0,2.2825000000000006
4000.0,5.0,-4.0,2.3533333333333335
4000.0,5.0,-4.0,2.4241666666666664
4000.0,5.0,-4.0,2.495
4000.0,5.0,-4.0,2.565833333333334
4000.0,5.0,-4.0,2.6366666666666667
4000.0,5.0,-4.0,2.7074999999999996
4000.0,5.0,-4.0,2.7783333333333333
4000.0,5.0,-4.0,2.849166666666667
4000.0,5.0,-4.0,2.92
4000.0,5.0,-4.0,2.990833333333333
4000.0,5.0,-4.0,3.0616666666666665
4000.0,5.0,-4.0,3.1325000000000003
4000.0,5.0,-4.0,3.203333333333333
4000.0,5.0,-4.0,3.274166666666666
4000.0,5.0,-4.0,3.3449999999999998
4000.0,5.0,-4.0,3.4158333333333335
4000.0,5.0,-4.0,3.4866666666666664
4000.0,5.0,-4.0,3.557499999999999
4000.0,5.0,-4.0,3.628333333333334
4000.0,5.0,-4.0,3.6991666666666667
4000.0,5.0,-4.0,3.7699999999999996
