wl,flux,bflux
3000.0,0.513576,15624.987822317382
3001.0,0.402792,12283.078721473441
3002.0,0.379823,11609.624565294302
3003.0,0.426241,13058.754013644175
3004.0,0.535246,16436.47334957073
3005.0,0.609839,18770.60119230747
3006.0,0.575579,17757.21266466267
3007.0,0.482343,14915.293151552343
3008.0,0.43045500000000003,13341.62160525149
3009.0,0.485099,15070.073920951712
3010.0,0.564058,17563.537830163517
3011.0,0.596874,18628.30014309652
3012.0,0.588116,18397.33783161897
3013.0,0.6033609999999999,18917.761360051663
3014.0,0.638204,20056.338275728773
3015.0,0.625995,19717.947353103984
3016.0,0.591121,18662.29455331603
3017.0,0.543389,17194.77143530602
3018.0,0.45659399999999994,14481.440990485238
3019.0,0.349948,11124.492573728756
3020.0,0.245617,7825.810655030443
3021.0,0.219921,7023.13372397974
3022.0,0.316762,10138.874325647997
3023.0,0.422408,13551.280390854321
3024.0,0.45338199999999995,14578.173363235019
3025.0,0.43496,14017.736893465495
3026.0,0.43518199999999996,14056.861449780747
3027.0,0.508448,16460.83833900038
3028.0,0.6049899999999999,19630.921167357817
3029.0,0.671614,21842.302197327714
3030.0,0.6878449999999999,22420.978184719643
3031.0,0.674347,22030.87849005924
3032.0,0.675361,22114.02985794892
3033.0,0.6921350000000001,22714.614404966604
3034.0,0.703869,23151.980920963357
3035.0,0.701763,23134.901858472153
3036.0,0.6222979999999999,20561.537951460185
3037.0,0.49487700000000007,16388.287534990694
3038.0,0.4961,16465.83530007733
3039.0,0.604256,20100.77801257468
3040.0,0.637312,21248.11801076212
3041.0,0.608693,20339.594110006034
3042.0,0.619233,20738.282777005592
3043.0,0.678823,22785.00339989032
3044.0,0.722638,24310.076169046955
3045.0,0.718191,24214.615919101176
3046.0,0.651746,22023.545225418944
3047.0,0.5277850000000001,17874.596938921113
3048.0,0.487757,16555.877832920658
3049.0,0.560879,19080.35717630608
3050.0,0.586919,20010.744138355487
3051.0,0.59059,20180.78433102055
3052.0,0.643686,22044.08265271138
3053.0,0.647179,22213.01619639682
3054.0,0.585846,20152.590036591086
3055.0,0.554234,19107.50518412757
3056.0,0.536934,18552.151600511275
3057.0,0.48329099999999997,16735.6961403067
3058.0,0.42738000000000004,14832.354721514856
3059.0,0.435651,15152.859542326387
3060.0,0.538339,18765.962332473297
3061.0,0.6522819999999999,22788.12783107506
3062.0,0.7081430000000001,24794.286650111517
3063.0,0.719526,25248.389710961677
3064.0,0.704604,24779.240093250748
3065.0,0.685454,24158.837125840524
3066.0,0.639989,22606.024699203335
3067.0,0.603961,21380.2957463643
3068.0,0.646551,22938.22841686179
3069.0,0.725053,25779.72382623883
3070.0,0.775994,27651.420146072567
3071.0,0.772979,27604.284509232144
3072.0,0.742811,26584.959273116023
3073.0,0.734388,26340.940089194773
3074.0,0.719594,25866.663386371787
3075.0,0.668858,24095.34435343739
3076.0,0.6510279999999999,23504.140123286525
3077.0,0.674998,24422.596304991064
3078.0,0.6905859999999999,25040.956644841073
3079.0,0.705496,25637.204155962205
3080.0,0.700971,25528.087245768496
3081.0,0.659354,24064.572311895827
3082.0,0.623988,22823.18122278742
3083.0,0.632698,23191.882526022284
3084.0,0.671022,24649.89435429544
3085.0,0.706171,25997.171989320137
3086.0,0.674148,24871.877428824715
3087.0,0.5881350000000001,21745.359808126857
3088.0,0.553703,20516.433649844184
3089.0,0.572951,21275.367103742366
3090.0,0.572241,21294.738272016628
3091.0,0.525624,19602.047895270098
3092.0,0.47581599999999996,17782.68738137908
3093.0,0.48661800000000005,18225.43003928178
