wl,flux
3000.000000000000,0.203587
3001.000000000000,0.114402
3002.000000000000,0.0879508
3003.000000000000,0.131666
3004.000000000000,0.231279
3005.000000000000,0.295712
3006.000000000000,0.256532
3007.000000000000,0.174854
3008.000000000000,0.128994
3009.000000000000,0.161059
3010.000000000000,0.257230
3011.000000000000,0.306617
3012.000000000000,0.263170
3013.000000000000,0.229671
3014.000000000000,0.234940
3015.000000000000,0.239203
3016.000000000000,0.218933
3017.000000000000,0.168343
3018.000000000000,0.111242
3019.000000000000,0.0664589
3020.000000000000,0.0366899
3021.000000000000,0.0400434
3022.000000000000,0.0908082
3023.000000000000,0.154292
3024.000000000000,0.169303
3025.000000000000,0.141868
3026.000000000000,0.152701
3027.000000000000,0.241052
3028.000000000000,0.329808
3029.000000000000,0.341830
3030.000000000000,0.289691
3031.000000000000,0.253108
3032.000000000000,0.291423
3033.000000000000,0.359335
3034.000000000000,0.390619
3035.000000000000,0.388052
3036.000000000000,0.311523
3037.000000000000,0.195612
3038.000000000000,0.179282
3039.000000000000,0.238943
3040.000000000000,0.246636
3041.000000000000,0.205977
3042.000000000000,0.186628
3043.000000000000,0.217063
3044.000000000000,0.277258
3045.000000000000,0.318021
3046.000000000000,0.276736
3047.000000000000,0.180960
3048.000000000000,0.154553
3049.000000000000,0.212598
3050.000000000000,0.253415
3051.000000000000,0.279494
3052.000000000000,0.317925
3053.000000000000,0.298086
3054.000000000000,0.256520
3055.000000000000,0.272930
3056.000000000000,0.262028
3057.000000000000,0.174251
3058.000000000000,0.101975
3059.000000000000,0.101654
3060.000000000000,0.168752
3061.000000000000,0.256524
3062.000000000000,0.300317
3063.000000000000,0.268143
3064.000000000000,0.203897
3065.000000000000,0.186406
3066.000000000000,0.172105
3067.000000000000,0.141647
3068.000000000000,0.169208
3069.000000000000,0.245355
3070.000000000000,0.312297
3071.000000000000,0.332866
3072.000000000000,0.298072
3073.000000000000,0.282716
3074.000000000000,0.285979
3075.000000000000,0.251820
3076.000000000000,0.252007
3077.000000000000,0.293451
3078.000000000000,0.291146
3079.000000000000,0.272041
3080.000000000000,0.281570
3081.000000000000,0.296479
3082.000000000000,0.297853
3083.000000000000,0.286662
3084.000000000000,0.313904
3085.000000000000,0.392180
3086.000000000000,0.392883
3087.000000000000,0.294108
3088.000000000000,0.232932
3089.000000000000,0.225741
3090.000000000000,0.213060
3091.000000000000,0.198635
3092.000000000000,0.191684
3093.000000000000,0.196079
3094.000000000000,0.228338
3095.000000000000,0.263142
3096.000000000000,0.260291
3097.000000000000,0.252214
3098.000000000000,0.237158
3099.000000000000,0.164988
3100.000000000000,0.0948679
3101.000000000000,0.0904757
3102.000000000000,0.157666
3103.000000000000,0.277611
3104.000000000000,0.373963
3105.000000000000,0.379514
3106.000000000000,0.351666
3107.000000000000,0.374755
3108.000000000000,0.427636
3109.000000000000,0.432015
3110.000000000000,0.381520
3111.000000000000,0.373826
3112.000000000000,0.410554
3113.000000000000,0.414518
3114.000000000000,0.394259
3115.000000000000,0.403711
3116.000000000000,0.384214
