wl,flux
3000.000000000000,0.697084
3001.000000000000,0.529512
3002.000000000000,0.450376
3003.000000000000,0.449461
3004.000000000000,0.536401
3005.000000000000,0.611149
3006.000000000000,0.587230
3007.000000000000,0.532545
3008.000000000000,0.516399
3009.000000000000,0.559791
3010.000000000000,0.630097
3011.000000000000,0.658395
3012.000000000000,0.620256
3013.000000000000,0.588955
3014.000000000000,0.596329
3015.000000000000,0.588629
3016.000000000000,0.564737
3017.000000000000,0.534416
3018.000000000000,0.491095
3019.000000000000,0.428643
3020.000000000000,0.344050
3021.000000000000,0.339546
3022.000000000000,0.473629
3023.000000000000,0.596021
3024.000000000000,0.605812
3025.000000000000,0.548499
3026.000000000000,0.530947
3027.000000000000,0.589751
3028.000000000000,0.635109
3029.000000000000,0.621356
3030.000000000000,0.575471
3031.000000000000,0.555403
3032.000000000000,0.591582
3033.000000000000,0.634572
3034.000000000000,0.656159
3035.000000000000,0.687021
3036.000000000000,0.657236
3037.000000000000,0.555440
3038.000000000000,0.533530
3039.000000000000,0.599608
3040.000000000000,0.616604
3041.000000000000,0.570944
3042.000000000000,0.548350
3043.000000000000,0.582410
3044.000000000000,0.628214
3045.000000000000,0.665861
3046.000000000000,0.663404
3047.000000000000,0.586697
3048.000000000000,0.545067
3049.000000000000,0.589308
3050.000000000000,0.629931
3051.000000000000,0.662775
3052.000000000000,0.685295
3053.000000000000,0.621714
3054.000000000000,0.543623
3055.000000000000,0.541755
3056.000000000000,0.538823
3057.000000000000,0.479995
3058.000000000000,0.433567
3059.000000000000,0.441986
3060.000000000000,0.499145
3061.000000000000,0.574417
3062.000000000000,0.606506
3063.000000000000,0.564580
3064.000000000000,0.498303
3065.000000000000,0.474891
3066.000000000000,0.447138
3067.000000000000,0.424867
3068.000000000000,0.467645
3069.000000000000,0.547621
3070.000000000000,0.592673
3071.000000000000,0.569730
3072.000000000000,0.518546
3073.000000000000,0.524731
3074.000000000000,0.554008
3075.000000000000,0.533831
3076.000000000000,0.541880
3077.000000000000,0.557774
3078.000000000000,0.525456
3079.000000000000,0.526587
3080.000000000000,0.566954
3081.000000000000,0.586688
3082.000000000000,0.591501
3083.000000000000,0.601446
3084.000000000000,0.636065
3085.000000000000,0.666638
3086.000000000000,0.600693
3087.000000000000,0.460089
3088.000000000000,0.390639
3089.000000000000,0.411506
3090.000000000000,0.445075
3091.000000000000,0.461014
3092.000000000000,0.441628
3093.000000000000,0.410713
3094.000000000000,0.427427
