wl,flux
3000.000000000000,0.790339
3001.000000000000,0.677371
3002.000000000000,0.636758
3003.000000000000,0.646605
3004.000000000000,0.717553
3005.000000000000,0.762019
3006.000000000000,0.730972
3007.000000000000,0.693053
3008.000000000000,0.701124
3009.000000000000,0.759489
3010.000000000000,0.784948
3011.000000000000,0.774365
3012.000000000000,0.749377
3013.000000000000,0.745544
3014.000000000000,0.782687
3015.000000000000,0.782884
3016.000000000000,0.761231
3017.000000000000,0.746998
3018.000000000000,0.702794
3019.000000000000,0.652293
3020.000000000000,0.591201
3021.000000000000,0.518200
3022.000000000000,0.488923
3023.000000000000,0.517374
3024.000000000000,0.575852
3025.000000000000,0.613138
3026.000000000000,0.623722
3027.000000000000,0.631817
3028.000000000000,0.656527
3029.000000000000,0.693162
3030.000000000000,0.712059
3031.000000000000,0.723384
3032.000000000000,0.729180
3033.000000000000,0.731523
3034.000000000000,0.748681
3035.000000000000,0.781267
3036.000000000000,0.772938
3037.000000000000,0.725987
3038.000000000000,0.725730
3039.000000000000,0.762163
3040.000000000000,0.748642
3041.000000000000,0.711471
3042.000000000000,0.740459
3043.000000000000,0.810038
3044.000000000000,0.838783
3045.000000000000,0.836316
3046.000000000000,0.818297
3047.000000000000,0.742647
3048.000000000000,0.647586
3049.000000000000,0.615538
3050.000000000000,0.620723
3051.000000000000,0.650173
3052.000000000000,0.686647
3053.000000000000,0.642801
3054.000000000000,0.546328
3055.000000000000,0.509794
3056.000000000000,0.524182
3057.000000000000,0.542699
3058.000000000000,0.561989
3059.000000000000,0.581703
3060.000000000000,0.614319
3061.000000000000,0.656661
3062.000000000000,0.683969
3063.000000000000,0.689096
3064.000000000000,0.684622
3065.000000000000,0.683675
3066.000000000000,0.650540
3067.000000000000,0.651133
3068.000000000000,0.705240
3069.000000000000,0.763499
3070.000000000000,0.812972
3071.000000000000,0.799145
3072.000000000000,0.756406
3073.000000000000,0.756426
3074.000000000000,0.757152
3075.000000000000,0.727340
3076.000000000000,0.698030
3077.000000000000,0.652508
3078.000000000000,0.605835
3079.000000000000,0.613010
3080.000000000000,0.648913
3081.000000000000,0.679255
3082.000000000000,0.711378
3083.000000000000,0.725391
3084.000000000000,0.714052
3085.000000000000,0.704944
3086.000000000000,0.660731
3087.000000000000,0.569222
3088.000000000000,0.527316
3089.000000000000,0.546581
3090.000000000000,0.575918
3091.000000000000,0.566477
3092.000000000000,0.528804
3093.000000000000,0.532993
3094.000000000000,0.588629
3095.000000000000,0.644970
3096.000000000000,0.642645
3097.000000000000,0.619830
3098.000000000000,0.628813
3099.000000000000,0.631692
3100.000000000000,0.612069
3101.000000000000,0.623367
3102.000000000000,0.643749
3103.000000000000,0.656735
3104.000000000000,0.677835
3105.000000000000,0.700709
3106.000000000000,0.711983
3107.000000000000,0.714309
3108.000000000000,0.730528
3109.000000000000,0.724619
3110.000000000000,0.684440
3111.000000000000,0.623189
3112.000000000000,0.572694
3113.000000000000,0.536764
3114.000000000000,0.487791
3115.000000000000,0.485251
3116.000000000000,0.514496
3117.000000000000,0.511607
3118.000000000000,0.491032
3119.000000000000,0.419242
3120.000000000000,0.334288
3121.000000000000,0.315715
3122.000000000000,0.344359
3123.000000000000,0.376493
3124.000000000000,0.386312
3125.000000000000,0.377468
3126.000000000000,0.376196
3127.000000000000,0.376367
3128.000000000000,0.376071
3129.000000000000,0.372097
3130.000000000000,0.324801
3131.000000000000,0.278194
3132.000000000000,0.276687
3133.000000000000,0.282288
3134.000000000000,0.282389
3135.000000000000,0.284240
3136.000000000000,0.296197
3137.000000000000,0.343188
3138.000000000000,0.409372
3139.000000000000,0.465094
3140.000000000000,0.495919
3141.000000000000,0.475766
3142.000000000000,0.399922
3143.000000000000,0.264001
3144.000000000000,0.156093
3145.000000000000,0.174006
3146.000000000000,0.248923
3147.000000000000,0.284604
3148.000000000000,0.295502
3149.000000000000,0.342206
3150.000000000000,0.418161
3151.000000000000,0.466593
3152.000000000000,0.430806
3153.000000000000,0.367705
3154.000000000000,0.357141
3155.000000000000,0.332062
3156.000000000000,0.243912
3157.000000000000,0.157517
3158.000000000000,0.138510
3159.000000000000,0.152684
3160.000000000000,0.146421
3161.000000000000,0.157153
3162.000000000000,0.206192
3163.000000000000,0.255544
3164.000000000000,0.288638
3165.000000000000,0.333300
3166.000000000000,0.372446
3167.000000000000,0.383757
3168.000000000000,0.383195
3169.000000000000,0.346767
3170.000000000000,0.324645
3171.000000000000,0.364994
3172.000000000000,0.413387
3173.000000000000,0.434063
3174.000000000000,0.441784
3175.000000000000,0.467308
3176.000000000000,0.503668
3177.000000000000,0.551636
3178.000000000000,0.579792
3179.000000000000,0.496793
3180.000000000000,0.346463
3181.000000000000,0.252531
3182.000000000000,0.260246
3183.000000000000,0.335792
3184.000000000000,0.387640
3185.000000000000,0.400851
3186.000000000000,0.433789
3187.000000000000,0.442403
3188.000000000000,0.419140
3189.000000000000,0.416532
3190.000000000000,0.427559
3191.000000000000,0.424831
3192.000000000000,0.437514
3193.000000000000,0.491018
3194.000000000000,0.511130
3195.000000000000,0.522030
3196.000000000000,0.562118
3197.000000000000,0.550371
3198.000000000000,0.565059
3199.000000000000,0.608391
3200.000000000000,0.576324
3201.000000000000,0.540466
3202.000000000000,0.504726
3203.000000000000,0.416461
3204.000000000000,0.350215
3205.000000000000,0.374884
3206.000000000000,0.452590
3207.000000000000,0.484257
3208.000000000000,0.505896
3209.000000000000,0.584554
3210.000000000000,0.602809
3211.000000000000,0.560705
3212.000000000000,0.559255
3213.000000000000,0.579140
3214.000000000000,0.602460
3215.000000000000,0.623047
3216.000000000000,0.603498
3217.000000000000,0.546807
3218.000000000000,0.508466
3219.000000000000,0.518228
3220.000000000000,0.567144
3221.000000000000,0.608797
3222.000000000000,0.599546
3223.000000000000,0.594875
3224.000000000000,0.617313
3225.000000000000,0.642598
3226.000000000000,0.679628
3227.000000000000,0.681250
3228.000000000000,0.664762
3229.000000000000,0.664160
3230.000000000000,0.636091
3231.000000000000,0.584471
3232.000000000000,0.596095
3233.000000000000,0.650896
3234.000000000000,0.681841
3235.000000000000,0.674200
3236.000000000000,0.646251
3237.000000000000,0.686135
3238.000000000000,0.746175
3239.000000000000,0.725724
3240.000000000000,0.711032
3241.000000000000,0.754883
3242.000000000000,0.797441
3243.000000000000,0.807290
3244.000000000000,0.783907
3245.000000000000,0.780983
3246.000000000000,0.823703
3247.000000000000,0.834176
3248.000000000000,0.789173
3249.000000000000,0.756759
3250.000000000000,0.773185
3251.000000000000,0.803104
3252.000000000000,0.814891
3253.000000000000,0.809895
3254.000000000000,0.824154
3255.000000000000,0.868973
3256.000000000000,0.899704
3257.000000000000,0.903340
3258.000000000000,0.903550
3259.000000000000,0.906846
3260.000000000000,0.909820
3261.000000000000,0.890802
3262.000000000000,0.865190
3263.000000000000,0.863660
3264.000000000000,0.854376
3265.000000000000,0.857494
3266.000000000000,0.897935
3267.000000000000,0.929606
3268.000000000000,0.942422
3269.000000000000,0.940284
3270.000000000000,0.902278
3271.000000000000,0.845117
3272.000000000000,0.825218
3273.000000000000,0.856047
3274.000000000000,0.896471
3275.000000000000,0.910940
3276.000000000000,0.887151
3277.000000000000,0.854041
3278.000000000000,0.853294
3279.000000000000,0.863732
3280.000000000000,0.840741
3281.000000000000,0.785897
3282.000000000000,0.769342
3283.000000000000,0.801864
3284.000000000000,0.834672
3285.000000000000,0.862624
3286.000000000000,0.881121
3287.000000000000,0.877012
3288.000000000000,0.872902
3289.000000000000,0.887726
3290.000000000000,0.895389
3291.000000000000,0.881659
3292.000000000000,0.874242
3293.000000000000,0.891833
3294.000000000000,0.899655
3295.000000000000,0.889654
3296.000000000000,0.885431
3297.000000000000,0.878071
3298.000000000000,0.882917
3299.000000000000,0.875713
3300.000000000000,0.877636
3301.000000000000,0.888575
3302.000000000000,0.862285
3303.000000000000,0.858845
3304.000000000000,0.864801
3305.000000000000,0.845960
3306.000000000000,0.844657
3307.000000000000,0.808689
3308.000000000000,0.751035
3309.000000000000,0.757317
3310.000000000000,0.766156
3311.000000000000,0.764099
3312.000000000000,0.791804
3313.000000000000,0.784565
3314.000000000000,0.755520
3315.000000000000,0.751350
3316.000000000000,0.703620
3317.000000000000,0.636584
3318.000000000000,0.612362
3319.000000000000,0.572906
3320.000000000000,0.486246
3321.000000000000,0.409842
3322.000000000000,0.338804
3323.000000000000,0.275366
3324.000000000000,0.269525
3325.000000000000,0.260635
3326.000000000000,0.204306
3327.000000000000,0.156317
3328.000000000000,0.151952
3329.000000000000,0.160708
3330.000000000000,0.153137
3331.000000000000,0.167102
3332.000000000000,0.187818
3333.000000000000,0.169205
3334.000000000000,0.143919
3335.000000000000,0.131626
