wl,flux
3000.000000000000,0.463873
3001.000000000000,0.363214
3002.000000000000,0.331775
3003.000000000000,0.362335
3004.000000000000,0.433354
3005.000000000000,0.475500
3006.000000000000,0.451215
3007.000000000000,0.400447
3008.000000000000,0.375200
3009.000000000000,0.411919
3010.000000000000,0.491620
3011.000000000000,0.526642
3012.000000000000,0.484382
3013.000000000000,0.439351
3014.000000000000,0.427822
3015.000000000000,0.439899
3016.000000000000,0.442343
3017.000000000000,0.411492
3018.000000000000,0.369316
3019.000000000000,0.309333
3020.000000000000,0.231927
3021.000000000000,0.221140
3022.000000000000,0.321952
3023.000000000000,0.421305
3024.000000000000,0.421642
3025.000000000000,0.370566
3026.000000000000,0.373253
3027.000000000000,0.449985
3028.000000000000,0.514313
3029.000000000000,0.513803
3030.000000000000,0.467608
3031.000000000000,0.430026
3032.000000000000,0.442954
3033.000000000000,0.484843
3034.000000000000,0.515968
3035.000000000000,0.530995
3036.000000000000,0.484236
3037.000000000000,0.397166
3038.000000000000,0.390687
3039.000000000000,0.441738
3040.000000000000,0.441039
3041.000000000000,0.406361
3042.000000000000,0.391380
3043.000000000000,0.407531
3044.000000000000,0.441122
3045.000000000000,0.479593
3046.000000000000,0.473418
3047.000000000000,0.415714
3048.000000000000,0.402754
3049.000000000000,0.451616
3050.000000000000,0.473711
3051.000000000000,0.470642
3052.000000000000,0.476734
3053.000000000000,0.460156
3054.000000000000,0.449355
3055.000000000000,0.481680
3056.000000000000,0.478434
3057.000000000000,0.403310
3058.000000000000,0.344573
3059.000000000000,0.355761
3060.000000000000,0.418960
3061.000000000000,0.475398
3062.000000000000,0.479143
3063.000000000000,0.413185
3064.000000000000,0.321156
3065.000000000000,0.294423
3066.000000000000,0.294018
3067.000000000000,0.276051
3068.000000000000,0.287764
3069.000000000000,0.342237
3070.000000000000,0.402068
3071.000000000000,0.433438
3072.000000000000,0.427484
3073.000000000000,0.442128
3074.000000000000,0.462239
3075.000000000000,0.433968
3076.000000000000,0.432691
3077.000000000000,0.466216
3078.000000000000,0.458128
3079.000000000000,0.434529
3080.000000000000,0.431343
3081.000000000000,0.430517
3082.000000000000,0.425961
3083.000000000000,0.421640
3084.000000000000,0.433753
3085.000000000000,0.465183
3086.000000000000,0.457918
3087.000000000000,0.417384
3088.000000000000,0.409023
3089.000000000000,0.396032
3090.000000000000,0.351067
3091.000000000000,0.327900
3092.000000000000,0.329895
3093.000000000000,0.344913
3094.000000000000,0.378663
3095.000000000000,0.394450
3096.000000000000,0.382800
3097.000000000000,0.391697
3098.000000000000,0.390502
3099.000000000000,0.324817
3100.000000000000,0.274861
3101.000000000000,0.282089
3102.000000000000,0.330999
3103.000000000000,0.420828
3104.000000000000,0.490715
3105.000000000000,0.482315
3106.000000000000,0.454889
3107.000000000000,0.482301
3108.000000000000,0.524374
3109.000000000000,0.519716
3110.000000000000,0.488027
3111.000000000000,0.492280
3112.000000000000,0.506269
3113.000000000000,0.498514
3114.000000000000,0.493488
3115.000000000000,0.516043
3116.000000000000,0.512164
3117.000000000000,0.445951
3118.000000000000,0.416908
3119.000000000000,0.441024
3120.000000000000,0.438103
3121.000000000000,0.388228
3122.000000000000,0.337743
3123.000000000000,0.357108
3124.000000000000,0.401019
3125.000000000000,0.397542
3126.000000000000,0.373721
3127.000000000000,0.366308
3128.000000000000,0.365782
3129.000000000000,0.368920
3130.000000000000,0.384547
3131.000000000000,0.418288
3132.000000000000,0.452232
3133.000000000000,0.446108
3134.000000000000,0.427273
3135.000000000000,0.450714
3136.000000000000,0.457519
3137.000000000000,0.433555
3138.000000000000,0.447456
3139.000000000000,0.481085
3140.000000000000,0.500170
3141.000000000000,0.506265
3142.000000000000,0.476280
3143.000000000000,0.402881
3144.000000000000,0.348628
3145.000000000000,0.355041
3146.000000000000,0.370216
3147.000000000000,0.368934
3148.000000000000,0.414283
3149.000000000000,0.476252
3150.000000000000,0.490320
3151.000000000000,0.479974
3152.000000000000,0.452963
3153.000000000000,0.447153
3154.000000000000,0.461593
3155.000000000000,0.468015
3156.000000000000,0.444751
3157.000000000000,0.395604
3158.000000000000,0.381150
3159.000000000000,0.401304
3160.000000000000,0.398332
3161.000000000000,0.376268
3162.000000000000,0.397864
3163.000000000000,0.440779
3164.000000000000,0.441488
3165.000000000000,0.436129
3166.000000000000,0.463406
3167.000000000000,0.488265
3168.000000000000,0.458079
3169.000000000000,0.422972
3170.000000000000,0.482203
3171.000000000000,0.573830
3172.000000000000,0.595566
3173.000000000000,0.547494
3174.000000000000,0.500289
3175.000000000000,0.522418
3176.000000000000,0.584133
3177.000000000000,0.584436
3178.000000000000,0.550646
3179.000000000000,0.528434
3180.000000000000,0.490735
3181.000000000000,0.464458
3182.000000000000,0.456805
3183.000000000000,0.432858
3184.000000000000,0.395552
3185.000000000000,0.378549
3186.000000000000,0.407824
3187.000000000000,0.469436
3188.000000000000,0.509174
3189.000000000000,0.514225
3190.000000000000,0.473602
3191.000000000000,0.398267
3192.000000000000,0.353143
3193.000000000000,0.376032
3194.000000000000,0.429864
3195.000000000000,0.458225
3196.000000000000,0.475696
3197.000000000000,0.508835
3198.000000000000,0.536430
3199.000000000000,0.513038
3200.000000000000,0.483453
3201.000000000000,0.492696
3202.000000000000,0.492384
3203.000000000000,0.494730
3204.000000000000,0.543471
3205.000000000000,0.581806
3206.000000000000,0.574770
3207.000000000000,0.570305
3208.000000000000,0.552899
3209.000000000000,0.504012
3210.000000000000,0.479702
3211.000000000000,0.485188
3212.000000000000,0.466472
3213.000000000000,0.419075
3214.000000000000,0.411316
3215.000000000000,0.467961
3216.000000000000,0.504567
3217.000000000000,0.497384
3218.000000000000,0.521111
3219.000000000000,0.552913
3220.000000000000,0.543998
3221.000000000000,0.514718
3222.000000000000,0.497169
3223.000000000000,0.500778
3224.000000000000,0.498430
3225.000000000000,0.479097
3226.000000000000,0.474331
3227.000000000000,0.477852
3228.000000000000,0.464714
3229.000000000000,0.438787
3230.000000000000,0.442768
3231.000000000000,0.481125
3232.000000000000,0.515822
3233.000000000000,0.496252
3234.000000000000,0.434869
3235.000000000000,0.404264
3236.000000000000,0.414019
3237.000000000000,0.458549
3238.000000000000,0.500019
3239.000000000000,0.505391
3240.000000000000,0.527282
3241.000000000000,0.528942
3242.000000000000,0.502382
3243.000000000000,0.507492
3244.000000000000,0.553405
3245.000000000000,0.610954
3246.000000000000,0.616191
3247.000000000000,0.555201
3248.000000000000,0.506226
3249.000000000000,0.520310
3250.000000000000,0.557241
3251.000000000000,0.565162
3252.000000000000,0.552987
3253.000000000000,0.539660
3254.000000000000,0.541032
3255.000000000000,0.571711
3256.000000000000,0.610136
3257.000000000000,0.639293
3258.000000000000,0.667742
3259.000000000000,0.684601
3260.000000000000,0.669250
3261.000000000000,0.651390
3262.000000000000,0.647917
3263.000000000000,0.617436
3264.000000000000,0.572992
3265.000000000000,0.571053
3266.000000000000,0.602464
3267.000000000000,0.631001
3268.000000000000,0.659506
3269.000000000000,0.663382
3270.000000000000,0.625611
3271.000000000000,0.576707
3272.000000000000,0.571943
3273.000000000000,0.594053
3274.000000000000,0.594836
3275.000000000000,0.596442
3276.000000000000,0.585729
3277.000000000000,0.572817
3278.000000000000,0.572523
3279.000000000000,0.572175
3280.000000000000,0.598574
3281.000000000000,0.621694
3282.000000000000,0.609221
3283.000000000000,0.601793
3284.000000000000,0.614463
3285.000000000000,0.613221
3286.000000000000,0.588768
3287.000000000000,0.564839
3288.000000000000,0.576789
3289.000000000000,0.626294
3290.000000000000,0.665876
3291.000000000000,0.663087
3292.000000000000,0.667181
3293.000000000000,0.699559
3294.000000000000,0.715642
3295.000000000000,0.689967
3296.000000000000,0.666807
3297.000000000000,0.675840
3298.000000000000,0.684586
3299.000000000000,0.674147
3300.000000000000,0.673085
3301.000000000000,0.668192
3302.000000000000,0.640781
3303.000000000000,0.648634
3304.000000000000,0.667583
3305.000000000000,0.634610
3306.000000000000,0.597130
3307.000000000000,0.601233
3308.000000000000,0.620200
3309.000000000000,0.638658
3310.000000000000,0.641605
3311.000000000000,0.633950
3312.000000000000,0.636117
3313.000000000000,0.632570
3314.000000000000,0.606417
3315.000000000000,0.585624
3316.000000000000,0.594334
3317.000000000000,0.611687
3318.000000000000,0.623463
3319.000000000000,0.633381
3320.000000000000,0.629279
3321.000000000000,0.610172
3322.000000000000,0.565260
3323.000000000000,0.541768
3324.000000000000,0.589384
3325.000000000000,0.634844
3326.000000000000,0.629435
3327.000000000000,0.615268
3328.000000000000,0.608911
3329.000000000000,0.587582
3330.000000000000,0.594215
3331.000000000000,0.634240
3332.000000000000,0.636136
3333.000000000000,0.605267
3334.000000000000,0.585979
3335.000000000000,0.576790
3336.000000000000,0.560975
3337.000000000000,0.567342
3338.000000000000,0.605806
3339.000000000000,0.621400
3340.000000000000,0.599391
3341.000000000000,0.583880
3342.000000000000,0.583156
3343.000000000000,0.600917
3344.000000000000,0.624613
3345.000000000000,0.638124
3346.000000000000,0.623856
3347.000000000000,0.585163
3348.000000000000,0.531948
3349.000000000000,0.486439
3350.000000000000,0.524102
3351.000000000000,0.603388
3352.000000000000,0.647442
3353.000000000000,0.645237
3354.000000000000,0.623124
3355.000000000000,0.628525
3356.000000000000,0.628783
3357.000000000000,0.579134
3358.000000000000,0.476774
3359.000000000000,0.359380
3360.000000000000,0.290669
3361.000000000000,0.304176
3362.000000000000,0.408557
3363.000000000000,0.538800
3364.000000000000,0.609999
3365.000000000000,0.613248
3366.000000000000,0.586578
3367.000000000000,0.563640
3368.000000000000,0.526013
3369.000000000000,0.465273
3370.000000000000,0.417992
3371.000000000000,0.395940
3372.000000000000,0.398992
3373.000000000000,0.450562
3374.000000000000,0.527791
3375.000000000000,0.595668
3376.000000000000,0.637441
3377.000000000000,0.634664
3378.000000000000,0.603736
