wl,flux
3000.000000000000,0.770360
3001.000000000000,0.677843
3002.000000000000,0.631126
3003.000000000000,0.630537
3004.000000000000,0.688423
3005.000000000000,0.739023
3006.000000000000,0.727476
3007.000000000000,0.688118
3008.000000000000,0.676713
3009.000000000000,0.710114
3010.000000000000,0.760964
3011.000000000000,0.779060
3012.000000000000,0.751535
3013.000000000000,0.728392
3014.000000000000,0.723372
3015.000000000000,0.720813
3016.000000000000,0.711485
3017.000000000000,0.687497
3018.000000000000,0.660930
3019.000000000000,0.615181
3020.000000000000,0.539485
3021.000000000000,0.529659
3022.000000000000,0.637874
3023.000000000000,0.727971
3024.000000000000,0.723229
3025.000000000000,0.677057
3026.000000000000,0.674322
3027.000000000000,0.734684
3028.000000000000,0.775428
3029.000000000000,0.756407
3030.000000000000,0.712371
3031.000000000000,0.692164
3032.000000000000,0.716058
3033.000000000000,0.754872
3034.000000000000,0.780497
3035.000000000000,0.801096
3036.000000000000,0.776860
3037.000000000000,0.709592
3038.000000000000,0.695672
3039.000000000000,0.734282
3040.000000000000,0.735628
3041.000000000000,0.700779
3042.000000000000,0.686962
3043.000000000000,0.709783
3044.000000000000,0.734639
3045.000000000000,0.759922
3046.000000000000,0.767925
3047.000000000000,0.733276
3048.000000000000,0.719329
3049.000000000000,0.749026
3050.000000000000,0.763946
3051.000000000000,0.769007
3052.000000000000,0.774648
3053.000000000000,0.739503
3054.000000000000,0.703287
3055.000000000000,0.716355
3056.000000000000,0.717153
3057.000000000000,0.662774
3058.000000000000,0.625867
3059.000000000000,0.645271
3060.000000000000,0.697364
3061.000000000000,0.745715
3062.000000000000,0.750311
3063.000000000000,0.691184
3064.000000000000,0.607795
3065.000000000000,0.574787
3066.000000000000,0.551889
3067.000000000000,0.527023
3068.000000000000,0.549004
3069.000000000000,0.610896
3070.000000000000,0.660174
3071.000000000000,0.669128
3072.000000000000,0.657954
3073.000000000000,0.680919
3074.000000000000,0.707026
3075.000000000000,0.686511
3076.000000000000,0.692305
3077.000000000000,0.710761
3078.000000000000,0.687669
3079.000000000000,0.678395
3080.000000000000,0.688820
3081.000000000000,0.686498
3082.000000000000,0.685912
3083.000000000000,0.696021
3084.000000000000,0.716017
3085.000000000000,0.730052
3086.000000000000,0.695373
