wl,flux
3000.000000000000,0.741535
3001.000000000000,0.615594
3002.000000000000,0.588686
3003.000000000000,0.616421
3004.000000000000,0.688373
3005.000000000000,0.722342
3006.000000000000,0.683940
3007.000000000000,0.649583
3008.000000000000,0.663859
3009.000000000000,0.730478
3010.000000000000,0.745363
3011.000000000000,0.724739
3012.000000000000,0.701815
3013.000000000000,0.702224
3014.000000000000,0.761347
3015.000000000000,0.773144
3016.000000000000,0.751606
3017.000000000000,0.745466
3018.000000000000,0.692315
3019.000000000000,0.641144
3020.000000000000,0.598384
3021.000000000000,0.535400
3022.000000000000,0.519062
3023.000000000000,0.565634
3024.000000000000,0.633737
3025.000000000000,0.672036
3026.000000000000,0.661389
3027.000000000000,0.631629
3028.000000000000,0.653467
3029.000000000000,0.730784
3030.000000000000,0.783335
3031.000000000000,0.793015
3032.000000000000,0.775771
3033.000000000000,0.745462
3034.000000000000,0.745196
3035.000000000000,0.787402
3036.000000000000,0.793527
3037.000000000000,0.760769
3038.000000000000,0.769842
3039.000000000000,0.796467
3040.000000000000,0.768624
3041.000000000000,0.741480
3042.000000000000,0.790640
3043.000000000000,0.862919
3044.000000000000,0.890727
3045.000000000000,0.885218
3046.000000000000,0.858048
3047.000000000000,0.777555
3048.000000000000,0.689979
3049.000000000000,0.678033
3050.000000000000,0.694677
3051.000000000000,0.718642
3052.000000000000,0.750986
3053.000000000000,0.720984
3054.000000000000,0.638087
3055.000000000000,0.592618
3056.000000000000,0.597096
3057.000000000000,0.629741
3058.000000000000,0.667026
3059.000000000000,0.695045
3060.000000000000,0.725914
3061.000000000000,0.756172
3062.000000000000,0.771861
3063.000000000000,0.775542
3064.000000000000,0.777532
3065.000000000000,0.783288
3066.000000000000,0.766464
3067.000000000000,0.767601
3068.000000000000,0.799297
3069.000000000000,0.835125
3070.000000000000,0.871328
3071.000000000000,0.866773
3072.000000000000,0.837888
3073.000000000000,0.836192
3074.000000000000,0.836588
3075.000000000000,0.816850
3076.000000000000,0.793406
3077.000000000000,0.757300
3078.000000000000,0.731301
3079.000000000000,0.745064
3080.000000000000,0.766619
3081.000000000000,0.779913
3082.000000000000,0.798527
3083.000000000000,0.810363
3084.000000000000,0.805666
3085.000000000000,0.789116
3086.000000000000,0.719477
3087.000000000000,0.614926
3088.000000000000,0.586098
3089.000000000000,0.613747
3090.000000000000,0.633040
3091.000000000000,0.625053
3092.000000000000,0.607108
3093.000000000000,0.622395
3094.000000000000,0.665676
3095.000000000000,0.702990
3096.000000000000,0.703075
3097.000000000000,0.689605
3098.000000000000,0.693219
3099.000000000000,0.700867
3100.000000000000,0.694280
3101.000000000000,0.707995
3102.000000000000,0.719965
3103.000000000000,0.730840
3104.000000000000,0.756686
3105.000000000000,0.789045
3106.000000000000,0.805431
3107.000000000000,0.790060
3108.000000000000,0.780422
3109.000000000000,0.765190
3110.000000000000,0.751903
3111.000000000000,0.721153
3112.000000000000,0.675146
3113.000000000000,0.629265
3114.000000000000,0.567045
3115.000000000000,0.564164
3116.000000000000,0.597508
3117.000000000000,0.598429
3118.000000000000,0.581488
3119.000000000000,0.484405
3120.000000000000,0.365030
3121.000000000000,0.353636
3122.000000000000,0.405667
3123.000000000000,0.449546
3124.000000000000,0.464899
3125.000000000000,0.458558
3126.000000000000,0.457822
3127.000000000000,0.449481
3128.000000000000,0.448425
3129.000000000000,0.459730
3130.000000000000,0.415121
3131.000000000000,0.367971
3132.000000000000,0.370772
3133.000000000000,0.369929
3134.000000000000,0.369357
3135.000000000000,0.377598
3136.000000000000,0.385068
3137.000000000000,0.424817
3138.000000000000,0.484960
3139.000000000000,0.538986
3140.000000000000,0.581968
3141.000000000000,0.571186
3142.000000000000,0.493195
3143.000000000000,0.332516
3144.000000000000,0.192940
3145.000000000000,0.212292
3146.000000000000,0.314740
3147.000000000000,0.377821
3148.000000000000,0.397604
3149.000000000000,0.435894
3150.000000000000,0.506060
3151.000000000000,0.564575
3152.000000000000,0.545343
3153.000000000000,0.497665
3154.000000000000,0.490344
3155.000000000000,0.424138
3156.000000000000,0.270301
3157.000000000000,0.142704
3158.000000000000,0.117584
3159.000000000000,0.144265
3160.000000000000,0.158969
3161.000000000000,0.197450
3162.000000000000,0.273881
3163.000000000000,0.322591
3164.000000000000,0.323937
3165.000000000000,0.351399
3166.000000000000,0.388473
3167.000000000000,0.396846
3168.000000000000,0.405202
3169.000000000000,0.369523
3170.000000000000,0.340676
3171.000000000000,0.388837
3172.000000000000,0.446511
3173.000000000000,0.464714
3174.000000000000,0.461462
3175.000000000000,0.481250
3176.000000000000,0.527294
3177.000000000000,0.598084
3178.000000000000,0.640720
3179.000000000000,0.552912
3180.000000000000,0.394157
3181.000000000000,0.285311
3182.000000000000,0.287637
3183.000000000000,0.376225
3184.000000000000,0.424115
3185.000000000000,0.416883
3186.000000000000,0.442764
3187.000000000000,0.462999
3188.000000000000,0.460079
3189.000000000000,0.488304
3190.000000000000,0.529049
3191.000000000000,0.530928
3192.000000000000,0.531231
3193.000000000000,0.585887
3194.000000000000,0.599709
3195.000000000000,0.609588
3196.000000000000,0.664329
3197.000000000000,0.639244
3198.000000000000,0.626259
3199.000000000000,0.661022
3200.000000000000,0.622888
3201.000000000000,0.584754
3202.000000000000,0.579970
3203.000000000000,0.533017
3204.000000000000,0.453208
3205.000000000000,0.420730
3206.000000000000,0.456430
3207.000000000000,0.460528
3208.000000000000,0.478126
3209.000000000000,0.593343
3210.000000000000,0.651953
3211.000000000000,0.629835
3212.000000000000,0.633450
3213.000000000000,0.655952
3214.000000000000,0.679095
3215.000000000000,0.683384
3216.000000000000,0.646014
3217.000000000000,0.572658
3218.000000000000,0.511974
3219.000000000000,0.507403
3220.000000000000,0.559972
3221.000000000000,0.617617
3222.000000000000,0.624373
3223.000000000000,0.632466
3224.000000000000,0.660168
3225.000000000000,0.682334
3226.000000000000,0.720379
3227.000000000000,0.726995
3228.000000000000,0.714356
3229.000000000000,0.722246
3230.000000000000,0.705257
3231.000000000000,0.661988
3232.000000000000,0.663385
3233.000000000000,0.700533
3234.000000000000,0.732711
3235.000000000000,0.724569
3236.000000000000,0.690223
3237.000000000000,0.743122
3238.000000000000,0.821276
3239.000000000000,0.805679
3240.000000000000,0.776365
3241.000000000000,0.817732
3242.000000000000,0.873610
3243.000000000000,0.870382
3244.000000000000,0.813648
3245.000000000000,0.801484
3246.000000000000,0.866690
3247.000000000000,0.903996
3248.000000000000,0.877266
3249.000000000000,0.836272
3250.000000000000,0.828277
3251.000000000000,0.859821
3252.000000000000,0.891478
3253.000000000000,0.887287
3254.000000000000,0.887434
3255.000000000000,0.923961
3256.000000000000,0.943284
3257.000000000000,0.926137
3258.000000000000,0.912326
3259.000000000000,0.915926
3260.000000000000,0.938888
3261.000000000000,0.957173
3262.000000000000,0.954944
3263.000000000000,0.935155
3264.000000000000,0.893423
3265.000000000000,0.886450
3266.000000000000,0.934135
3267.000000000000,0.969431
3268.000000000000,0.977532
3269.000000000000,0.968702
3270.000000000000,0.939317
3271.000000000000,0.910075
3272.000000000000,0.906406
3273.000000000000,0.925584
3274.000000000000,0.950479
3275.000000000000,0.963835
3276.000000000000,0.953994
3277.000000000000,0.934436
3278.000000000000,0.941878
3279.000000000000,0.961099
3280.000000000000,0.959103
3281.000000000000,0.941736
3282.000000000000,0.930406
3283.000000000000,0.920333
3284.000000000000,0.910837
3285.000000000000,0.924921
3286.000000000000,0.946487
3287.000000000000,0.955028
3288.000000000000,0.957460
3289.000000000000,0.956843
3290.000000000000,0.944615
3291.000000000000,0.921267
3292.000000000000,0.914299
3293.000000000000,0.933322
3294.000000000000,0.945332
3295.000000000000,0.945448
3296.000000000000,0.945752
3297.000000000000,0.939747
3298.000000000000,0.941396
3299.000000000000,0.938025
3300.000000000000,0.937405
3301.000000000000,0.943496
3302.000000000000,0.935610
3303.000000000000,0.939044
3304.000000000000,0.940033
3305.000000000000,0.928504
3306.000000000000,0.932225
3307.000000000000,0.919627
3308.000000000000,0.897858
3309.000000000000,0.905021
3310.000000000000,0.903675
3311.000000000000,0.896463
3312.000000000000,0.909680
3313.000000000000,0.905034
3314.000000000000,0.888336
3315.000000000000,0.877512
3316.000000000000,0.827535
3317.000000000000,0.765911
3318.000000000000,0.737857
3319.000000000000,0.692516
3320.000000000000,0.609557
3321.000000000000,0.541379
3322.000000000000,0.480152
3323.000000000000,0.421028
3324.000000000000,0.412203
3325.000000000000,0.408280
3326.000000000000,0.355015
3327.000000000000,0.298436
3328.000000000000,0.285593
3329.000000000000,0.295314
3330.000000000000,0.297710
3331.000000000000,0.321289
3332.000000000000,0.348909
3333.000000000000,0.335052
3334.000000000000,0.308076
3335.000000000000,0.285600
3336.000000000000,0.269824
3337.000000000000,0.262123
3338.000000000000,0.250704
3339.000000000000,0.241801
3340.000000000000,0.230429
3341.000000000000,0.226599
3342.000000000000,0.278486
3343.000000000000,0.346819
3344.000000000000,0.385573
3345.000000000000,0.430732
3346.000000000000,0.470015
3347.000000000000,0.482576
3348.000000000000,0.467881
3349.000000000000,0.414626
3350.000000000000,0.383110
3351.000000000000,0.421660
3352.000000000000,0.503615
3353.000000000000,0.597569
3354.000000000000,0.685735
3355.000000000000,0.743086
3356.000000000000,0.744071
3357.000000000000,0.674448
3358.000000000000,0.561360
3359.000000000000,0.459714
3360.000000000000,0.430011
3361.000000000000,0.502553
3362.000000000000,0.637189
3363.000000000000,0.748342
3364.000000000000,0.802544
3365.000000000000,0.828725
3366.000000000000,0.847282
3367.000000000000,0.845082
3368.000000000000,0.809214
3369.000000000000,0.754491
3370.000000000000,0.716118
3371.000000000000,0.706118
3372.000000000000,0.729326
3373.000000000000,0.778675
3374.000000000000,0.822809
3375.000000000000,0.843947
3376.000000000000,0.856726
3377.000000000000,0.872444
3378.000000000000,0.880336
3379.000000000000,0.867265
3380.000000000000,0.829148
3381.000000000000,0.786937
3382.000000000000,0.781457
3383.000000000000,0.797797
3384.000000000000,0.805601
3385.000000000000,0.812017
3386.000000000000,0.819481
3387.000000000000,0.826536
3388.000000000000,0.833569
3389.000000000000,0.850239
3390.000000000000,0.867614
3391.000000000000,0.864506
3392.000000000000,0.853777
3393.000000000000,0.859160
3394.000000000000,0.870911
3395.000000000000,0.870448
3396.000000000000,0.878021
3397.000000000000,0.897662
3398.000000000000,0.899525
3399.000000000000,0.889357
3400.000000000000,0.896271
3401.000000000000,0.903296
3402.000000000000,0.885280
3403.000000000000,0.865347
3404.000000000000,0.850849
3405.000000000000,0.815092
3406.000000000000,0.794520
3407.000000000000,0.822676
3408.000000000000,0.851048
3409.000000000000,0.851563
3410.000000000000,0.868034
3411.000000000000,0.910425
3412.000000000000,0.919990
3413.000000000000,0.890343
3414.000000000000,0.880247
3415.000000000000,0.897801
3416.000000000000,0.902985
3417.000000000000,0.898560
3418.000000000000,0.914000
3419.000000000000,0.922716
3420.000000000000,0.908450
3421.000000000000,0.906781
3422.000000000000,0.917689
3423.000000000000,0.908220
3424.000000000000,0.897077
3425.000000000000,0.909557
3426.000000000000,0.917582
3427.000000000000,0.910358
3428.000000000000,0.913186
3429.000000000000,0.927307
3430.000000000000,0.934442
3431.000000000000,0.930854
3432.000000000000,0.899221
3433.000000000000,0.846240
3434.000000000000,0.843119
3435.000000000000,0.881247
3436.000000000000,0.903763
3437.000000000000,0.917119
3438.000000000000,0.934578
3439.000000000000,0.933174
3440.000000000000,0.904427
3441.000000000000,0.894672
3442.000000000000,0.916089
3443.000000000000,0.918880
3444.000000000000,0.912287
3445.000000000000,0.920325
3446.000000000000,0.924274
3447.000000000000,0.930947
3448.000000000000,0.943938
3449.000000000000,0.947362
3450.000000000000,0.944344
3451.000000000000,0.943025
3452.000000000000,0.936929
3453.000000000000,0.928589
3454.000000000000,0.933305
3455.000000000000,0.944716
3456.000000000000,0.949441
3457.000000000000,0.944357
3458.000000000000,0.935894
3459.000000000000,0.940985
3460.000000000000,0.951902
3461.000000000000,0.947946
3462.000000000000,0.946145
3463.000000000000,0.954692
3464.000000000000,0.941487
3465.000000000000,0.894954
3466.000000000000,0.874849
3467.000000000000,0.912060
3468.000000000000,0.951236
3469.000000000000,0.967819
3470.000000000000,0.969844
3471.000000000000,0.962761
3472.000000000000,0.950944
3473.000000000000,0.945960
3474.000000000000,0.943647
3475.000000000000,0.930995
3476.000000000000,0.920799
3477.000000000000,0.928905
3478.000000000000,0.948610
3479.000000000000,0.961416
3480.000000000000,0.964493
3481.000000000000,0.964058
3482.000000000000,0.961568
3483.000000000000,0.956911
3484.000000000000,0.956208
3485.000000000000,0.961721
3486.000000000000,0.966713
3487.000000000000,0.970465
3488.000000000000,0.972672
3489.000000000000,0.964994
3490.000000000000,0.946295
3491.000000000000,0.937895
3492.000000000000,0.940086
3493.000000000000,0.943033
3494.000000000000,0.956226
3495.000000000000,0.968176
3496.000000000000,0.968255
3497.000000000000,0.959084
3498.000000000000,0.954724
3499.000000000000,0.961626
3500.000000000000,0.956196
3501.000000000000,0.929126
3502.000000000000,0.910711
3503.000000000000,0.924329
3504.000000000000,0.951723
3505.000000000000,0.969192
3506.000000000000,0.973042
3507.000000000000,0.972547
3508.000000000000,0.971746
3509.000000000000,0.965500
3510.000000000000,0.956201
3511.000000000000,0.957448
3512.000000000000,0.961767
3513.000000000000,0.953440
3514.000000000000,0.939143
3515.000000000000,0.936164
3516.000000000000,0.949614
3517.000000000000,0.962364
3518.000000000000,0.965015
3519.000000000000,0.961775
3520.000000000000,0.956470
3521.000000000000,0.953430
3522.000000000000,0.955979
3523.000000000000,0.953871
3524.000000000000,0.938982
3525.000000000000,0.927953
3526.000000000000,0.929753
3527.000000000000,0.944712
3528.000000000000,0.961601
3529.000000000000,0.968213
3530.000000000000,0.969274
3531.000000000000,0.969281
3532.000000000000,0.969328
3533.000000000000,0.970939
3534.000000000000,0.973872
3535.000000000000,0.975277
3536.000000000000,0.974695
3537.000000000000,0.974376
3538.000000000000,0.973575
3539.000000000000,0.964660
3540.000000000000,0.932002
3541.000000000000,0.873534
3542.000000000000,0.819365
3543.000000000000,0.796196
3544.000000000000,0.798400
3545.000000000000,0.805150
3546.000000000000,0.805186
3547.000000000000,0.797395
3548.000000000000,0.790049
3549.000000000000,0.790159
3550.000000000000,0.792940
3551.000000000000,0.787456
3552.000000000000,0.757163
3553.000000000000,0.696356
3554.000000000000,0.604557
3555.000000000000,0.469042
