wl,flux
3000.000000000000,0.745097
3001.000000000000,0.621904
3002.000000000000,0.594057
3003.000000000000,0.619754
3004.000000000000,0.691186
3005.000000000000,0.725987
3006.000000000000,0.688690
3007.000000000000,0.654226
3008.000000000000,0.667703
3009.000000000000,0.733383
3010.000000000000,0.749070
3011.000000000000,0.728729
3012.000000000000,0.704603
3013.000000000000,0.704062
3014.000000000000,0.762008
3015.000000000000,0.773976
3016.000000000000,0.753118
3017.000000000000,0.745919
3018.000000000000,0.692905
3019.000000000000,0.643013
3020.000000000000,0.599712
3021.000000000000,0.528858
3022.000000000000,0.493841
3023.000000000000,0.526180
3024.000000000000,0.595009
3025.000000000000,0.639748
3026.000000000000,0.636413
3027.000000000000,0.612938
3028.000000000000,0.635314
3029.000000000000,0.708156
3030.000000000000,0.757970
3031.000000000000,0.770460
3032.000000000000,0.756560
3033.000000000000,0.729425
3034.000000000000,0.731447
3035.000000000000,0.772998
3036.000000000000,0.779267
3037.000000000000,0.746274
3038.000000000000,0.753550
3039.000000000000,0.781342
3040.000000000000,0.756865
3041.000000000000,0.728779
3042.000000000000,0.778336
3043.000000000000,0.855753
3044.000000000000,0.883916
3045.000000000000,0.873781
3046.000000000000,0.843251
3047.000000000000,0.761752
3048.000000000000,0.672215
3049.000000000000,0.653412
3050.000000000000,0.662881
3051.000000000000,0.685257
3052.000000000000,0.717442
3053.000000000000,0.681040
3054.000000000000,0.589333
3055.000000000000,0.544331
3056.000000000000,0.555411
3057.000000000000,0.591671
3058.000000000000,0.629524
3059.000000000000,0.654450
3060.000000000000,0.681556
3061.000000000000,0.712827
3062.000000000000,0.732494
3063.000000000000,0.737527
3064.000000000000,0.740157
3065.000000000000,0.749103
3066.000000000000,0.732404
3067.000000000000,0.735943
3068.000000000000,0.770535
3069.000000000000,0.808156
3070.000000000000,0.850525
3071.000000000000,0.847986
3072.000000000000,0.817286
3073.000000000000,0.813711
3074.000000000000,0.810109
3075.000000000000,0.787475
3076.000000000000,0.761293
3077.000000000000,0.720592
3078.000000000000,0.694104
3079.000000000000,0.711160
3080.000000000000,0.733807
3081.000000000000,0.749025
3082.000000000000,0.773302
3083.000000000000,0.786438
3084.000000000000,0.777166
3085.000000000000,0.761430
3086.000000000000,0.701534
3087.000000000000,0.605151
3088.000000000000,0.575225
3089.000000000000,0.599491
3090.000000000000,0.620907
3091.000000000000,0.612536
3092.000000000000,0.590438
3093.000000000000,0.605539
3094.000000000000,0.652434
3095.000000000000,0.694341
3096.000000000000,0.694543
3097.000000000000,0.679853
3098.000000000000,0.685655
3099.000000000000,0.694562
3100.000000000000,0.688450
3101.000000000000,0.702668
3102.000000000000,0.714762
3103.000000000000,0.723106
3104.000000000000,0.748204
3105.000000000000,0.781018
3106.000000000000,0.795159
3107.000000000000,0.779581
3108.000000000000,0.774277
3109.000000000000,0.766711
3110.000000000000,0.755395
3111.000000000000,0.722736
3112.000000000000,0.679170
3113.000000000000,0.639347
3114.000000000000,0.583906
3115.000000000000,0.583126
3116.000000000000,0.613702
3117.000000000000,0.610772
3118.000000000000,0.592772
3119.000000000000,0.499853
3120.000000000000,0.387473
3121.000000000000,0.378754
3122.000000000000,0.429781
3123.000000000000,0.472513
3124.000000000000,0.488151
3125.000000000000,0.486329
3126.000000000000,0.489124
3127.000000000000,0.478810
3128.000000000000,0.473077
3129.000000000000,0.481042
3130.000000000000,0.437782
3131.000000000000,0.392640
3132.000000000000,0.394480
3133.000000000000,0.393625
3134.000000000000,0.394271
3135.000000000000,0.403725
3136.000000000000,0.412226
3137.000000000000,0.452395
3138.000000000000,0.512830
3139.000000000000,0.564128
3140.000000000000,0.602905
3141.000000000000,0.592257
3142.000000000000,0.516432
3143.000000000000,0.353932
3144.000000000000,0.210345
3145.000000000000,0.228897
3146.000000000000,0.331883
3147.000000000000,0.394275
3148.000000000000,0.413533
3149.000000000000,0.452546
3150.000000000000,0.523536
3151.000000000000,0.581139
3152.000000000000,0.561225
3153.000000000000,0.513871
3154.000000000000,0.506432
3155.000000000000,0.442817
3156.000000000000,0.291914
3157.000000000000,0.163047
3158.000000000000,0.135848
3159.000000000000,0.162195
3160.000000000000,0.177335
3161.000000000000,0.215925
3162.000000000000,0.291552
3163.000000000000,0.341209
3164.000000000000,0.346991
3165.000000000000,0.376568
3166.000000000000,0.412510
3167.000000000000,0.420931
3168.000000000000,0.429095
3169.000000000000,0.394900
3170.000000000000,0.368568
3171.000000000000,0.415556
3172.000000000000,0.470936
3173.000000000000,0.489759
3174.000000000000,0.488976
3175.000000000000,0.509098
3176.000000000000,0.551062
3177.000000000000,0.615440
3178.000000000000,0.654292
3179.000000000000,0.567592
3180.000000000000,0.411865
3181.000000000000,0.306257
3182.000000000000,0.308995
3183.000000000000,0.395755
3184.000000000000,0.444972
3185.000000000000,0.441298
3186.000000000000,0.468508
3187.000000000000,0.486746
3188.000000000000,0.480424
3189.000000000000,0.503752
3190.000000000000,0.538901
3191.000000000000,0.540121
3192.000000000000,0.543392
3193.000000000000,0.596989
3194.000000000000,0.608669
3195.000000000000,0.617047
3196.000000000000,0.671122
3197.000000000000,0.649630
3198.000000000000,0.639418
3199.000000000000,0.674210
3200.000000000000,0.637671
3201.000000000000,0.599856
3202.000000000000,0.590435
3203.000000000000,0.538905
3204.000000000000,0.462767
3205.000000000000,0.439544
3206.000000000000,0.481646
3207.000000000000,0.488501
3208.000000000000,0.504551
3209.000000000000,0.613568
3210.000000000000,0.666545
3211.000000000000,0.641294
3212.000000000000,0.643293
3213.000000000000,0.664545
3214.000000000000,0.686996
3215.000000000000,0.693240
3216.000000000000,0.660257
3217.000000000000,0.593289
3218.000000000000,0.537143
3219.000000000000,0.532372
3220.000000000000,0.581921
3221.000000000000,0.636694
3222.000000000000,0.641877
3223.000000000000,0.647653
3224.000000000000,0.674051
3225.000000000000,0.696112
3226.000000000000,0.732178
3227.000000000000,0.737765
3228.000000000000,0.726550
3229.000000000000,0.733867
3230.000000000000,0.714384
3231.000000000000,0.670928
3232.000000000000,0.675055
3233.000000000000,0.713579
3234.000000000000,0.744384
3235.000000000000,0.736652
3236.000000000000,0.702992
3237.000000000000,0.751338
3238.000000000000,0.824141
3239.000000000000,0.808168
3240.000000000000,0.781714
3241.000000000000,0.822111
3242.000000000000,0.875015
3243.000000000000,0.873745
3244.000000000000,0.821573
3245.000000000000,0.810189
3246.000000000000,0.871990
3247.000000000000,0.906556
3248.000000000000,0.879356
3249.000000000000,0.839442
3250.000000000000,0.831627
3251.000000000000,0.859949
3252.000000000000,0.887831
3253.000000000000,0.883845
3254.000000000000,0.885891
3255.000000000000,0.922295
3256.000000000000,0.942106
3257.000000000000,0.927616
3258.000000000000,0.916190
3259.000000000000,0.920427
3260.000000000000,0.940882
3261.000000000000,0.954439
3262.000000000000,0.949854
3263.000000000000,0.932912
3264.000000000000,0.896216
3265.000000000000,0.891107
3266.000000000000,0.936436
3267.000000000000,0.969618
3268.000000000000,0.977696
3269.000000000000,0.969741
3270.000000000000,0.941010
3271.000000000000,0.910876
3272.000000000000,0.905574
3273.000000000000,0.925116
3274.000000000000,0.951382
3275.000000000000,0.964691
3276.000000000000,0.953910
3277.000000000000,0.933263
3278.000000000000,0.938742
3279.000000000000,0.954125
3280.000000000000,0.942178
3281.000000000000,0.910898
3282.000000000000,0.896986
3283.000000000000,0.895900
3284.000000000000,0.894837
3285.000000000000,0.912454
3286.000000000000,0.935292
3287.000000000000,0.944548
3288.000000000000,0.947309
3289.000000000000,0.947410
3290.000000000000,0.935470
3291.000000000000,0.911836
3292.000000000000,0.903459
3293.000000000000,0.921631
3294.000000000000,0.932759
3295.000000000000,0.931704
3296.000000000000,0.931963
3297.000000000000,0.923882
3298.000000000000,0.925924
3299.000000000000,0.921351
3300.000000000000,0.921054
3301.000000000000,0.929928
3302.000000000000,0.919563
3303.000000000000,0.923793
3304.000000000000,0.925152
3305.000000000000,0.909847
3306.000000000000,0.913290
3307.000000000000,0.892538
3308.000000000000,0.859149
3309.000000000000,0.867300
3310.000000000000,0.867032
3311.000000000000,0.858485
3312.000000000000,0.875620
3313.000000000000,0.870651
3314.000000000000,0.852806
3315.000000000000,0.849842
3316.000000000000,0.804743
3317.000000000000,0.743537
3318.000000000000,0.719563
3319.000000000000,0.678092
3320.000000000000,0.597382
3321.000000000000,0.533792
3322.000000000000,0.473261
3323.000000000000,0.410558
3324.000000000000,0.403757
3325.000000000000,0.404523
3326.000000000000,0.356336
3327.000000000000,0.305161
3328.000000000000,0.295334
3329.000000000000,0.304456
3330.000000000000,0.304591
3331.000000000000,0.328894
3332.000000000000,0.357351
3333.000000000000,0.340316
3334.000000000000,0.312798
3335.000000000000,0.294109
3336.000000000000,0.278955
3337.000000000000,0.269567
3338.000000000000,0.257568
3339.000000000000,0.246414
3340.000000000000,0.233257
3341.000000000000,0.230178
3342.000000000000,0.279830
3343.000000000000,0.344747
3344.000000000000,0.382055
3345.000000000000,0.424831
3346.000000000000,0.462909
3347.000000000000,0.477654
3348.000000000000,0.465250
3349.000000000000,0.412957
3350.000000000000,0.380828
3351.000000000000,0.415708
3352.000000000000,0.493035
3353.000000000000,0.582413
3354.000000000000,0.665955
3355.000000000000,0.720366
3356.000000000000,0.712205
3357.000000000000,0.620785
3358.000000000000,0.484436
3359.000000000000,0.370506
3360.000000000000,0.339280
3361.000000000000,0.416568
3362.000000000000,0.559524
3363.000000000000,0.677996
3364.000000000000,0.735003
3365.000000000000,0.764789
3366.000000000000,0.788458
3367.000000000000,0.781310
3368.000000000000,0.730731
3369.000000000000,0.661466
3370.000000000000,0.614914
3371.000000000000,0.605345
3372.000000000000,0.638481
3373.000000000000,0.699973
3374.000000000000,0.749905
3375.000000000000,0.771778
3376.000000000000,0.788076
3377.000000000000,0.812060
3378.000000000000,0.825750
3379.000000000000,0.812350
3380.000000000000,0.775248
3381.000000000000,0.733346
3382.000000000000,0.724143
3383.000000000000,0.736799
3384.000000000000,0.740419
3385.000000000000,0.740853
3386.000000000000,0.742408
3387.000000000000,0.749914
3388.000000000000,0.762226
3389.000000000000,0.785122
3390.000000000000,0.809928
3391.000000000000,0.810943
3392.000000000000,0.801272
3393.000000000000,0.809965
3394.000000000000,0.823020
3395.000000000000,0.820146
3396.000000000000,0.830047
3397.000000000000,0.856333
3398.000000000000,0.859043
3399.000000000000,0.846940
3400.000000000000,0.857886
3401.000000000000,0.866875
3402.000000000000,0.841811
3403.000000000000,0.818507
3404.000000000000,0.808157
3405.000000000000,0.767827
3406.000000000000,0.739086
3407.000000000000,0.771644
3408.000000000000,0.805424
3409.000000000000,0.800891
3410.000000000000,0.818955
3411.000000000000,0.877624
3412.000000000000,0.894401
3413.000000000000,0.856881
3414.000000000000,0.848694
3415.000000000000,0.875387
3416.000000000000,0.874709
3417.000000000000,0.860577
3418.000000000000,0.882611
3419.000000000000,0.896536
3420.000000000000,0.872749
3421.000000000000,0.868243
3422.000000000000,0.888163
3423.000000000000,0.879063
3424.000000000000,0.861366
3425.000000000000,0.876125
3426.000000000000,0.888407
3427.000000000000,0.878018
3428.000000000000,0.879826
3429.000000000000,0.898099
3430.000000000000,0.907619
3431.000000000000,0.904787
3432.000000000000,0.869522
3433.000000000000,0.808448
3434.000000000000,0.804434
3435.000000000000,0.847054
3436.000000000000,0.872206
3437.000000000000,0.891288
3438.000000000000,0.916807
3439.000000000000,0.916850
3440.000000000000,0.886991
3441.000000000000,0.879935
3442.000000000000,0.901503
3443.000000000000,0.899889
3444.000000000000,0.891718
3445.000000000000,0.902210
3446.000000000000,0.906815
3447.000000000000,0.912852
3448.000000000000,0.928425
3449.000000000000,0.931841
3450.000000000000,0.924450
3451.000000000000,0.924197
3452.000000000000,0.923965
3453.000000000000,0.916163
3454.000000000000,0.917587
3455.000000000000,0.930695
3456.000000000000,0.939608
3457.000000000000,0.934919
3458.000000000000,0.924745
3459.000000000000,0.929585
3460.000000000000,0.942497
3461.000000000000,0.940733
3462.000000000000,0.939685
3463.000000000000,0.946201
3464.000000000000,0.928651
3465.000000000000,0.874766
3466.000000000000,0.851160
3467.000000000000,0.893146
3468.000000000000,0.940341
3469.000000000000,0.963981
3470.000000000000,0.967629
3471.000000000000,0.957928
3472.000000000000,0.944670
3473.000000000000,0.940817
3474.000000000000,0.939538
3475.000000000000,0.926781
3476.000000000000,0.914803
3477.000000000000,0.920288
3478.000000000000,0.939334
3479.000000000000,0.952739
3480.000000000000,0.955832
3481.000000000000,0.955128
3482.000000000000,0.952430
3483.000000000000,0.948113
3484.000000000000,0.948479
3485.000000000000,0.954762
