wl,flux,bflux
3000.0,0.559189,68589.80158613187
3001.0,0.406856,49997.852700545955
3002.0,0.35805,44082.19651222676
3003.0,0.39916799999999997,49236.073035344496
3004.0,0.529418,65423.497065417214
3005.0,0.62144,76937.99069072954
3006.0,0.578968,71812.82384792715
3007.0,0.473262,58810.39689136409
3008.0,0.42271899999999996,52626.98628781036
3009.0,0.48587600000000003,60601.819238898046
3010.0,0.575155,71870.0293886294
3011.0,0.606576,75936.413549831
3012.0,0.584476,73304.8493799828
3013.0,0.602745,75735.59343844137
3014.0,0.647439,81501.3675608773
3015.0,0.6358659999999999,80191.8988402391
3016.0,0.6034430000000001,76242.86942154169
3017.0,0.555185,70274.54149135273
3018.0,0.45466000000000006,57655.87874947466
3019.0,0.333911,42421.24006176836
3020.0,0.226357,28809.88888199016
3021.0,0.197701,25208.718927106118
3022.0,0.287707,36752.410718380845
3023.0,0.39564,50632.37813922805
3024.0,0.431971,55382.77253374618
3025.0,0.408953,52527.2552233923
3026.0,0.41243100000000005,53070.48518065377
3027.0,0.503753,64939.522488773124
3028.0,0.610676,78866.25664957185
3029.0,0.668248,86458.2052011904
3030.0,0.669741,86808.6195907303
3031.0,0.6575340000000001,85380.92162670782
3032.0,0.678028,88201.53796016716
3033.0,0.717061,93447.95078027732
3034.0,0.737358,96266.78623719046
3035.0,0.740081,96796.79474441074
3036.0,0.654986,85821.60498145537
3037.0,0.5042300000000001,66187.41781524438
3038.0,0.49388000000000004,64945.57832875022
3039.0,0.607023,79967.57722632297
3040.0,0.633251,83572.72635307205
3041.0,0.588526,77809.65440609203
3042.0,0.602051,79740.60277260221
3043.0,0.688717,91382.84798167327
3044.0,0.750843,99804.45570924702
3045.0,0.748888,99722.654393746
3046.0,0.680491,90776.77810304983
3047.0,0.542844,72544.10021489066
3048.0,0.490809,65707.28306819903
3049.0,0.55904,74975.10279897059
3050.0,0.5726060000000001,76931.20502769147
3051.0,0.570454,76778.3871831012
3052.0,0.624905,84256.48370796537
3053.0,0.604522,81652.9123391797
3054.0,0.511436,69202.27379995561
3055.0,0.47834499999999996,64839.41274802183
3056.0,0.475125,64516.93770267985
