wl,flux,bflux
3000.0,0.372749,15422.262420949533
3001.0,0.283265,11746.0396736382
3002.0,0.267414,11113.446078638472
3003.0,0.321392,13386.432246763536
3004.0,0.44358500000000006,18517.01277590566
3005.0,0.540687,22620.563119329574
3006.0,0.514263,21562.806818242512
3007.0,0.39608899999999997,16644.641400288543
3008.0,0.319033,13436.248830356742
3009.0,0.36662,15474.56586682081
3010.0,0.471951,19964.491101748663
3011.0,0.527109,22347.034618149897
3012.0,0.520141,22100.28220544797
3013.0,0.53247,22674.006218168604
3014.0,0.5414359999999999,23106.58467985011
3015.0,0.512741,21930.13552797463
3016.0,0.476426,20421.728201945592
3017.0,0.41674399999999995,17902.73118053399
3018.0,0.328474,14141.743670067208
3019.0,0.23594400000000001,10180.334733048998
3020.0,0.15726700000000002,6800.502627852588
3021.0,0.146353,6342.412184695856
3022.0,0.226226,9825.256733460745
3023.0,0.310015,13493.722981314173
3024.0,0.327883,14302.593980937481
3025.0,0.309164,13515.458768709943
3026.0,0.332357,14561.020269211658
3027.0,0.45228900000000005,19858.536623892833
3028.0,0.580203,25530.22054918762
3029.0,0.630899,27821.270311573182
3030.0,0.614445,27154.498908483984
3031.0,0.584832,25901.845590767847
3032.0,0.603833,26801.33167875649
3033.0,0.657645,29252.98195365277
3034.0,0.678294,30236.730727887138
3035.0,0.648961,28991.643610285322
3036.0,0.536506,24019.576807994014
3037.0,0.390926,17539.653151121245
3038.0,0.38467199999999996,17296.245709051553
3039.0,0.494122,22265.345395271026
3040.0,0.536093,24208.534987446743
3041.0,0.504383,22825.541515346176
3042.0,0.49861300000000003,22612.869488909542
3043.0,0.557635,25343.85564708316
3044.0,0.610649,27812.757503340123
3045.0,0.604492,27591.28003198913
3046.0,0.527868,24145.415043898945
3047.0,0.40241,18446.13189004618
3048.0,0.372601,17116.183123609957
3049.0,0.45530600000000004,20960.02534757305
3050.0,0.490846,22644.272254732678
3051.0,0.505448,23367.56374983466
3052.0,0.573665,26577.75607170584
3053.0,0.586587,27234.195904199714
3054.0,0.530845,24698.5344242759
3055.0,0.51102,23826.58735593419
3056.0,0.490295,22908.732898398594
3057.0,0.398171,18643.697791450442
3058.0,0.306813,14396.409023245436
3059.0,0.310138,14583.19089530526
3060.0,0.429204,20224.494116506135
3061.0,0.572821,27048.82067822746
3062.0,0.6523760000000001,30870.385064256505
3063.0,0.655712,31093.60245543882
3064.0,0.607305,28858.767395903204
3065.0,0.5672010000000001,27009.720680294304
3066.0,0.51236,24449.483002249326
3067.0,0.45897,21947.71415935222
3068.0,0.5020819999999999,24059.652842523265
3069.0,0.6065619999999999,29127.20343060072
3070.0,0.677687,32610.751524412583
3071.0,0.68548,33054.73515582798
3072.0,0.656604,31728.448666574193
3073.0,0.6498659999999999,31468.40496683863
3074.0,0.635933,30857.949080367653
3075.0,0.570072,27719.753868813867
3076.0,0.5579350000000001,27186.06878895431
3077.0,0.611323,29849.418203007648
3078.0,0.6278100000000001,30718.137366712483
3079.0,0.6267689999999999,30730.870092596684
3080.0,0.609266,29934.64949808366
3081.0,0.542499,26709.4686949193
3082.0,0.48057799999999995,23709.83073717344
3083.0,0.48901999999999995,24176.233346314868
3084.0,0.558701,27678.216712147227
3085.0,0.6345149999999999,31498.971958610287
3086.0,0.633192,31498.141298029754
3087.0,0.561878,28008.235475353173
3088.0,0.524417,26194.72777649577
3089.0,0.5317850000000001,26617.41104724647
3090.0,0.497961,24975.653128510596
3091.0,0.410897,20651.209154564134
3092.0,0.340905,17168.647083689597
3093.0,0.353169,17822.74785864589
3094.0,0.444801,22492.95040588076
3095.0,0.5088,25781.93776678315
3096.0,0.470258,23877.6525252506
3097.0,0.422684,21505.890352323626
3098.0,0.43773999999999996,22317.381473614994
3099.0,0.414945,21198.353320754133
3100.0,0.331574,16973.67372516164
3101.0,0.30327800000000005,15556.764717844384
3102.0,0.39129899999999995,20112.650822913336
3103.0,0.545956,28118.98400529809
3104.0,0.6441479999999999,33243.61596114051
3105.0,0.658058,34030.363415130545
3106.0,0.656209,34003.50024216426
3107.0,0.677426,35173.982302991644
3108.0,0.713921,37143.88141635388
3109.0,0.725694,37832.698384182535
3110.0,0.716363,37421.63878812313
3111.0,0.702742,36784.14356669354
3112.0,0.691195,36252.63868766092
3113.0,0.678369,35651.560046711464
3114.0,0.6526609999999999,34369.47771765533
3115.0,0.6661199999999999,35148.733851050696
3116.0,0.669358,35390.510571555096
3117.0,0.6345189999999999,33615.794214352674
3118.0,0.629166,33399.00929133243
3119.0,0.5950449999999999,31650.965499987495
