wl,flux,bflux
3000.0,0.832195,44812.555453330635
3001.0,0.778088,41988.67208578435
3002.0,0.746529,40371.795086739345
3003.0,0.745136,40382.57598000164
3004.0,0.7893640000000001,42870.843301177265
3005.0,0.826131,44963.38618971175
3006.0,0.817307,44577.92352099337
3007.0,0.790107,43186.12082568796
3008.0,0.784,42943.472977705664
3009.0,0.809801,44450.98333433555
3010.0,0.832297,45782.816183531206
3011.0,0.833765,45960.854365729494
3012.0,0.821155,45361.66457842485
3013.0,0.8220280000000001,45506.03650756117
3014.0,0.836041,46379.67344048634
3015.0,0.834993,46419.43046895764
3016.0,0.822626,45828.47656790346
3017.0,0.80752,45081.82059479044
3018.0,0.788469,44111.02069763057
3019.0,0.759351,42571.45901427223
3020.0,0.7112729999999999,39959.94913477811
3021.0,0.694638,39107.39943945426
3022.0,0.7401310000000001,41756.10194805866
3023.0,0.778827,44031.39733534384
3024.0,0.784733,44458.28036409009
3025.0,0.776066,44059.32484706759
3026.0,0.77537,44111.900935444915
3027.0,0.797196,45448.40570988724
3028.0,0.818404,46754.90858858008
3029.0,0.823,47115.56418055255
3030.0,0.8169609999999999,46867.322500426155
3031.0,0.8157800000000001,46897.025412571806
3032.0,0.824874,47518.47023324454
3033.0,0.8390219999999999,48433.95635636163
3034.0,0.851248,49241.76748736797
3035.0,0.860923,49904.75647032743
3036.0,0.8453629999999999,49104.369491628364
3037.0,0.807156,46982.14363748872
3038.0,0.802605,46813.90058380089
3039.0,0.831377,48592.3347088471
3040.0,0.8346879999999999,48886.607262130834
3041.0,0.8157369999999999,47875.2476560077
3042.0,0.814583,47906.06894133095
3043.0,0.834801,49196.210583164015
3044.0,0.8487049999999999,50118.50743403276
3045.0,0.854439,50560.840826732194
3046.0,0.850893,50454.419322689246
3047.0,0.826218,49091.819837061026
3048.0,0.812782,48392.48863164785
3049.0,0.8226479999999999,49080.220931677206
3050.0,0.818338,48922.98510508296
3051.0,0.81447,48791.28700786672
3052.0,0.826578,49617.76082371752
3053.0,0.8125899999999999,48877.627445528786
3054.0,0.7791939999999999,46964.397422496644
3055.0,0.771234,46579.30688303527
3056.0,0.770243,46614.121467022145
3057.0,0.7492479999999999,45435.72001285245
3058.0,0.7381880000000001,44855.95145926352
3059.0,0.753416,45874.188265606885
3060.0,0.787485,48045.80761726748
3061.0,0.8220059999999999,50253.584322676455
3062.0,0.8346899999999999,51132.29761969299
3063.0,0.824941,50637.26302166419
3064.0,0.80156,49301.46276722325
3065.0,0.776948,47884.10249673617
3066.0,0.7436729999999999,45925.74826830116
3067.0,0.740039,45793.39701965835
3068.0,0.777704,48220.95561914477
3069.0,0.81687,50751.26287118797
3070.0,0.8356180000000001,52020.35617483607
3071.0,0.8196829999999999,51130.76529842134
3072.0,0.791764,49488.256024829796
3073.0,0.796878,49907.69038507847
3074.0,0.810851,50884.45569755555
3075.0,0.798975,50239.45438336607
3076.0,0.8017340000000001,50513.664894976246
3077.0,0.8123630000000001,51285.52110539508
3078.0,0.8033,50814.50199593075
3079.0,0.80474,51007.022550233734
3080.0,0.816062,51827.61538199331
3081.0,0.81834,52075.65601262773
3082.0,0.8216,52386.99771835029
3083.0,0.825973,52770.38370947185
3084.0,0.8308450000000001,53186.93286814145
3085.0,0.832932,53426.19342399762
3086.0,0.8023100000000001,51563.911425594175
3087.0,0.741367,47741.39208266276
3088.0,0.710068,45816.210411926186
3089.0,0.722511,46711.122095108156
3090.0,0.7402569999999999,47952.82424793619
3091.0,0.739342,47987.9387618283
3092.0,0.720646,46866.548222700316
3093.0,0.714788,46577.023498252536
3094.0,0.7427020000000001,48491.0718820632
3095.0,0.7708550000000001,50428.008678250684
3096.0,0.765525,50177.57409212756
3097.0,0.75056,49293.09414375652
3098.0,0.7490479999999999,49290.12496767539
3099.0,0.736105,48533.19361859357
3100.0,0.711435,46998.3258183374
3101.0,0.709696,46975.001605634614
3102.0,0.727421,48242.16551285935
3103.0,0.7598659999999999,50492.13268281415
3104.0,0.780116,51938.67421803234
3105.0,0.777479,51863.82515534926
3106.0,0.777057,51936.4412836477
3107.0,0.7941560000000001,53182.38366006316
3108.0,0.8215950000000001,55126.65792847719
3109.0,0.8222290000000001,55276.15164639071
3110.0,0.805081,54228.170669202955
3111.0,0.794323,53607.07580432072
3112.0,0.800612,54135.968914897894
3113.0,0.811492,54977.645640866605
3114.0,0.802636,54482.602403363424
3115.0,0.812526,55260.27328202502
3116.0,0.815868,55594.451914022415
3117.0,0.777042,53050.695175883506
3118.0,0.7415,50721.49133441628
3119.0,0.703298,48200.745631675694
3120.0,0.678718,46605.42781995163
3121.0,0.6929810000000001,47676.07128877686
3122.0,0.7227560000000001,49819.81198716176
3123.0,0.760003,52487.534807301876
3124.0,0.768984,53209.34453461091
3125.0,0.747514,51822.56670188556
3126.0,0.747533,51922.81002877598
3127.0,0.75176,52315.99759917307
3128.0,0.746514,52049.90986363114
3129.0,0.752473,52565.27292789166
3130.0,0.7410100000000001,51862.959927436015
3131.0,0.735495,51574.78597798846
3132.0,0.7466079999999999,52453.45269470166
3133.0,0.740222,52103.44202979845
3134.0,0.7467550000000001,52662.90393418135
3135.0,0.774211,54702.54025274242
3136.0,0.7795880000000001,55186.652370421754
3137.0,0.7861060000000001,55753.22838840589
3138.0,0.804679,57178.247182686835
3139.0,0.813964,57947.124020512354
3140.0,0.83005,59203.682383809755
3141.0,0.8338399999999999,59585.99931556745
3142.0,0.780158,55854.782520009314
3143.0,0.612675,43946.421366220464
3144.0,0.454064,32630.61396630734
3145.0,0.4906140000000001,35323.375062186395
3146.0,0.6215689999999999,44835.802376916836
3147.0,0.69413,50163.637708058115
3148.0,0.722279,52295.59016916581
3149.0,0.7617229999999999,55254.58069725739
3150.0,0.800586,58182.1296608665
3151.0,0.813863,59257.40086982054
3152.0,0.79408,57924.79299269674
3153.0,0.783327,57246.84227938061
3154.0,0.787691,57672.901320298486
3155.0,0.7360270000000001,53990.38309468732
3156.0,0.6188670000000001,45480.581173748054
3157.0,0.506238,37272.516095583764
3158.0,0.471998,34815.98518027697
3159.0,0.513847,37973.11197909568
3160.0,0.5639430000000001,41752.3267872558
3161.0,0.5816359999999999,43141.88674429627
3162.0,0.602161,44746.81593610644
3163.0,0.63695,47419.37103469045
3164.0,0.6570159999999999,49003.444042580515
3165.0,0.676497,50549.40193131276
3166.0,0.683612,51175.08717145646
3167.0,0.677007,50773.85267601798
3168.0,0.6730729999999999,50571.57209593966
3169.0,0.666619,50178.60452278392
3170.0,0.688176,51896.288817261244
3171.0,0.735585,55573.124341578296
3172.0,0.767874,58118.763313931166
3173.0,0.777299,58939.74425258053
3174.0,0.7734479999999999,58754.925438758684
3175.0,0.775471,59016.170574400036
3176.0,0.783028,59700.00232227592
3177.0,0.7955840000000001,60767.864469641376
3178.0,0.804341,61548.61804832738
3179.0,0.764424,58600.57354999113
3180.0,0.7026680000000001,53964.29044210762
3181.0,0.6561359999999999,50482.190764223975
3182.0,0.6332760000000001,48811.78372611784
3183.0,0.652364,50374.21007652694
3184.0,0.671082,51913.43390398497
3185.0,0.6726979999999999,52132.613877753625
3186.0,0.69401,53881.48825483243
3187.0,0.707399,55020.189332598035
3188.0,0.7163970000000001,55820.59695402694
3189.0,0.738733,57664.77375319117
3190.0,0.733164,57333.16210762576
3191.0,0.701117,54925.779395572456
3192.0,0.686883,53907.44689014905
3193.0,0.706634,55557.166636614165
3194.0,0.7251810000000001,57117.716758592884
3195.0,0.734581,57961.85483832357
3196.0,0.7469439999999999,59042.955608401644
3197.0,0.736374,58311.64004894461
3198.0,0.756301,59996.72588355977
3199.0,0.792585,62987.45972115626
3200.0,0.776896,61850.86846638611
3201.0,0.763854,60921.031745804146
3202.0,0.767188,61295.977417580085
3203.0,0.7607189999999999,60887.34307684629
3204.0,0.752839,60363.82641248012
3205.0,0.7556229999999999,60694.73514961023
3206.0,0.7765529999999999,62486.68149150291
3207.0,0.770768,62131.21558224021
3208.0,0.755971,61046.45303244562
3209.0,0.785959,63580.454124072356
3210.0,0.8022090000000001,65009.82684068721
3211.0,0.786247,63828.92599647571
3212.0,0.7730560000000001,62868.89962637934
3213.0,0.755234,61527.90362739715
3214.0,0.751546,61335.39221862301
3215.0,0.773365,63227.265701846
3216.0,0.775393,63504.62951124863
3217.0,0.751185,61630.168690994695
3218.0,0.747474,61433.43439979482
3219.0,0.7667649999999999,63129.5300809627
3220.0,0.794675,65542.15485550654
3221.0,0.811168,67019.65416965992
3222.0,0.794808,65782.91726073882
3223.0,0.786573,65215.19246673377
3224.0,0.802713,66669.65515788294
3225.0,0.812182,67573.86506940698
3226.0,0.81294,67754.8990856978
3227.0,0.7944,66325.04863682616
3228.0,0.7711,64491.80021722116
3229.0,0.770682,64568.960041035665
3230.0,0.795017,66723.54234172674
3231.0,0.808489,67972.02740009622
3232.0,0.8031659999999999,67641.64777332463
3233.0,0.792075,66823.19715862261
3234.0,0.7764800000000001,65620.9672164606
3235.0,0.767305,64957.77167566093
3236.0,0.765962,64956.16556267627
3237.0,0.80101,68045.66902664225
3238.0,0.834065,70975.94320367677
3239.0,0.8140689999999999,69393.78050217968
3240.0,0.812371,69368.31250971333
3241.0,0.8341059999999999,71346.83013582265
3242.0,0.8423360000000001,72174.67742380957
3243.0,0.8543629999999999,73330.94927399063
3244.0,0.862549,74160.62319083
3245.0,0.869836,74915.38694862786
3246.0,0.882669,76150.87770264111
3247.0,0.869268,75123.09252982867
3248.0,0.8330930000000001,72119.93289051435
3249.0,0.82444,71492.79628253619
3250.0,0.8489110000000001,73740.50869768992
3251.0,0.8594379999999999,74782.26209441098
3252.0,0.847826,73897.57622035226
3253.0,0.838513,73210.2721157396
3254.0,0.847967,74161.6307178673
3255.0,0.8749299999999999,76649.80736038722
3256.0,0.8969440000000001,78711.80489693857
3257.0,0.907032,79732.11354269904
3258.0,0.913034,80395.74917397296
3259.0,0.915292,80731.05277235237
3260.0,0.913809,80736.6152968925
3261.0,0.9096,80500.58992127214
3262.0,0.912408,80885.4760317034
3263.0,0.913256,81097.26208877107
3264.0,0.8950229999999999,79612.15840417202
3265.0,0.8879530000000001,79116.31924568751
3266.0,0.906363,80892.5461304985
3267.0,0.921664,82396.45983133544
3268.0,0.929266,83215.63224520722
3269.0,0.931773,83580.17646957992
3270.0,0.909996,81763.65352980449
3271.0,0.8691909999999999,78228.14333047051
3272.0,0.8530760000000001,76906.29241234808
3273.0,0.872481,78787.22995182563
3274.0,0.8952549999999999,80978.86125633962
3275.0,0.90167,81695.27552608996
3276.0,0.882229,80067.15884941196
3277.0,0.857253,77930.09851125702
3278.0,0.855389,77890.11634566808
3279.0,0.864934,78890.28010363264
3280.0,0.864713,79001.20439947402
3281.0,0.8468450000000001,77497.23468052282
3282.0,0.8389049999999999,76897.98760474789
3283.0,0.8547540000000001,78480.65284738898
3284.0,0.8721709999999999,80212.44260937006
3285.0,0.882116,81261.30535559948
3286.0,0.8832110000000001,81496.68091895427
3287.0,0.869972,80407.66444152848
3288.0,0.862482,79846.94344312708
3289.0,0.878324,81447.63026084579
3290.0,0.8960049999999999,83224.06945634527
3291.0,0.898328,83577.16358227243
3292.0,0.8972450000000001,83613.66907685646
3293.0,0.90476,84452.5049052682
3294.0,0.905982,84705.37882557989
3295.0,0.8958079999999999,83891.50785940353
3296.0,0.89133,83608.91744307084
3297.0,0.8903629999999999,83654.93415310956
3298.0,0.894495,84180.62113147358
3299.0,0.889459,83843.47380801398
3300.0,0.8900319999999999,84034.46576327515
3301.0,0.892791,84432.46901525599
3302.0,0.870175,82427.76485394475
3303.0,0.864475,82021.1716056559
3304.0,0.872175,82886.3749740955
3305.0,0.863484,82193.8196541756
3306.0,0.8600559999999999,82000.46766505166
3307.0,0.8431059999999999,80514.83095118719
