wl,flux,bflux
3000.0,0.309302,14836.70690203986
3001.0,0.22912600000000002,11014.751639554293
3002.0,0.214065,10313.134379874486
3003.0,0.266245,12854.94662640898
3004.0,0.385752,18665.51342298679
3005.0,0.480651,23307.928265922616
3006.0,0.45202,21967.09737244687
3007.0,0.334556,16293.867582209718
3008.0,0.260191,12699.513963149313
3009.0,0.305965,14965.980842409195
3010.0,0.41395,20291.72953077756
3011.0,0.471988,23186.7038588591
3012.0,0.46118100000000006,22704.685128669233
3013.0,0.46875200000000006,23127.163386920296
3014.0,0.47248500000000004,23361.54487555003
3015.0,0.441375,21870.298154979162
3016.0,0.406566,20188.804952546507
3017.0,0.348486,17341.89754672132
3018.0,0.264319,13181.67296422814
3019.0,0.184248,9208.204312691736
3020.0,0.12433599999999999,6227.27746452188
3021.0,0.119821,6013.988209506414
3022.0,0.18575,9342.990564227453
3023.0,0.254861,12846.566657507643
3024.0,0.26861599999999997,13568.796317391034
3025.0,0.252836,12798.918125620678
3026.0,0.282521,14332.07726000661
3027.0,0.410157,20851.23303948109
3028.0,0.54503,27766.70739300716
3029.0,0.593586,30304.64084356338
3030.0,0.5697180000000001,29147.821698535663
3031.0,0.5381520000000001,27591.222864790907
3032.0,0.566703,29116.58836225328
3033.0,0.631776,32528.665090868213
3034.0,0.651343,33607.032701959506
3035.0,0.614274,31761.354342979226
3036.0,0.493712,25581.510482955575
3037.0,0.344537,17889.703886074683
3038.0,0.333546,17355.49347996927
3039.0,0.43360299999999996,22609.27401587642
3040.0,0.471113,24616.805873775993
3041.0,0.44036400000000003,23058.436646473445
3042.0,0.43646899999999994,22902.456096221544
3043.0,0.50055,26320.000493461976
3044.0,0.558909,29450.21502000403
3045.0,0.552404,29168.37870645422
3046.0,0.472825,25018.610425295505
3047.0,0.34836,18471.30093403583
3048.0,0.319037,16951.802151129756
3049.0,0.399552,21274.184606876406
3050.0,0.438503,23396.783116635757
3051.0,0.461163,24657.053413488346
3052.0,0.535573,28695.09783698477
3053.0,0.54662,29347.833318582147
3054.0,0.487379,26221.52863894368
3055.0,0.468929,25281.225980982585
3056.0,0.447507,24176.303332220814
3057.0,0.350364,18967.397344501547
3058.0,0.256275,13902.467620861951
3059.0,0.25955100000000003,14109.282252751742
3060.0,0.378402,20612.534010956246
3061.0,0.530775,28972.325188905783
3062.0,0.626065,34244.153204676964
3063.0,0.631833,34630.80680554825
3064.0,0.571063,31364.38753990175
3065.0,0.5224840000000001,28755.270356883313
3066.0,0.46201800000000004,25479.69431753826
3067.0,0.40208,22219.681793480344
