wl,flux,bflux
3000.0,0.586882,37427.876845265266
3001.0,0.45766999999999997,29248.33737175605
3002.0,0.42430200000000007,27172.35683259306
3003.0,0.465517,29873.797004183263
3004.0,0.576905,37098.89646818863
3005.0,0.651977,42013.60338248518
3006.0,0.615164,39723.608778909984
3007.0,0.526253,34052.70824378283
3008.0,0.48290900000000003,31312.72207801102
3009.0,0.542171,35228.11634634807
3010.0,0.611971,39845.63554288807
3011.0,0.633953,41362.13236231498
3012.0,0.619899,40528.62809238176
3013.0,0.636767,41717.2613977818
3014.0,0.684091,44909.949001239234
3015.0,0.677574,44573.63259788278
3016.0,0.644258,42469.08427899396
3017.0,0.603963,39894.62261646586
3018.0,0.5158520000000001,34144.38291356782
3019.0,0.40455100000000005,26832.227196848005
3020.0,0.29575300000000004,19656.268198249138
3021.0,0.261356,17405.72133510372
3022.0,0.352421,23518.42024078105
3023.0,0.45965900000000004,30737.47060436864
3024.0,0.49882,33424.22794755154
3025.0,0.48314399999999996,32439.82198828988
3026.0,0.476391,32051.543143007566
3027.0,0.535513,36102.56983394907
3028.0,0.624893,42213.91598914836
3029.0,0.697152,47190.928631626695
3030.0,0.7193390000000001,48791.581904670995
3031.0,0.709217,48202.532721950294
3032.0,0.7091069999999999,48292.65764493268
3033.0,0.720378,49159.51301749315
3034.0,0.7324689999999999,50085.65555235214
3035.0,0.742445,50870.33169377394
3036.0,0.675595,46383.3450435266
3037.0,0.552243,37990.97180345287
3038.0,0.55267,38096.91487443302
3039.0,0.656134,45319.945904736654
3040.0,0.678168,46936.01859217764
3041.0,0.642107,44529.48414089848
3042.0,0.660352,45886.639694360565
3043.0,0.732326,50989.98714992425
3044.0,0.779673,54395.35681040852
3045.0,0.775964,54244.909499944195
3046.0,0.715712,50132.918928793486
3047.0,0.592946,41616.57258198856
3048.0,0.542771,38170.994346749525
3049.0,0.6044,42589.855210221256
3050.0,0.62216,43928.650660790714
3051.0,0.622876,44066.71174655458
3052.0,0.673117,47715.78547471806
3053.0,0.66481,47220.516682153946
3054.0,0.587068,41781.35070510061
3055.0,0.547963,39075.575385475684
3056.0,0.5389550000000001,38509.3276942872
3057.0,0.507717,36349.0969989226
3058.0,0.472975,33928.74558484841
3059.0,0.48754899999999995,35043.28338268903
3060.0,0.580539,41809.40937912962
3061.0,0.680304,49090.89802911115
3062.0,0.728746,52690.056747133436
3063.0,0.73752,53429.36650340075
3064.0,0.724241,52570.52110950787
3065.0,0.710914,51704.50755984285
3066.0,0.6670229999999999,48607.52701015051
3067.0,0.632563,46186.717059644514
3068.0,0.673916,49302.49322167614
3069.0,0.7511180000000001,55057.98412666393
3070.0,0.8078960000000001,59335.66758307702
3071.0,0.806424,59343.24289281073
3072.0,0.77417,57080.904043043425
3073.0,0.7671,56669.89144725654
3074.0,0.753129,55746.15035267052
3075.0,0.7037800000000001,52194.74323303608
3076.0,0.682187,50691.69799302969
3077.0,0.6931609999999999,51607.20002675542
3078.0,0.705017,52591.76755243114
3079.0,0.726931,54331.61224566323
3080.0,0.728506,54554.80219362328
3081.0,0.700291,52543.38800467369
3082.0,0.682344,51295.79992317985
3083.0,0.688959,51893.138385271915
3084.0,0.709529,53545.63423302363
3085.0,0.731545,55313.55214481017
3086.0,0.691398,52378.66653438989
3087.0,0.597581,45358.44386026913
3088.0,0.561755,42721.116158453864
3089.0,0.58329,44444.0559584313
3090.0,0.588039,44891.90435586604
3091.0,0.5501020000000001,42076.25710620139
3092.0,0.508514,38969.78437448534
3093.0,0.521252,40022.41316680819
3094.0,0.5889840000000001,45309.442468441885
3095.0,0.638807,49236.118594327476
3096.0,0.6061300000000001,46806.70631504256
3097.0,0.564114,43645.20911182818
3098.0,0.583557,45235.52359066805
3099.0,0.584412,45388.03090808673
3100.0,0.527542,41049.16980350337
3101.0,0.504688,39345.46451890945
3102.0,0.554262,43292.27490517033
3103.0,0.64507,50480.65670880312
3104.0,0.714512,56020.8599233163
3105.0,0.747214,58695.73999738777
3106.0,0.758682,59709.29540844212
3107.0,0.7542369999999999,59471.62842672765
3108.0,0.759446,59995.40294386021
3109.0,0.7657,60603.547888768335
3110.0,0.776184,61549.09406193652
3111.0,0.77166,61305.550115789934
3112.0,0.7586510000000001,60385.39577814516
3113.0,0.746633,59540.48836659264
3114.0,0.718275,57386.60644608614
