wl,flux,bflux
3000.0,0.556634,86867.25231306964
3001.0,0.372436,58225.45206305572
3002.0,0.297748,46632.01395674324
3003.0,0.32161799999999996,50460.20538398183
3004.0,0.43049,67661.92145223201
3005.0,0.511542,80544.22254677874
3006.0,0.478234,75433.56439874902
3007.0,0.404047,63844.92747924086
3008.0,0.367006,58094.7991621056
3009.0,0.405061,64232.28152344219
3010.0,0.495975,78788.12786438252
3011.0,0.539351,85830.13799149272
3012.0,0.494626,78851.84190577299
3013.0,0.459984,73458.73706619721
3014.0,0.47185200000000005,75486.90436835341
3015.0,0.47339,75866.3573808462
3016.0,0.44893999999999995,72074.56784077542
3017.0,0.40268200000000004,64761.784767513396
3018.0,0.340937,54927.87916618315
3019.0,0.267146,43115.03385868032
3020.0,0.189177,30585.036831973586
3021.0,0.19536900000000001,31641.437380489297
3022.0,0.335465,54426.06077969399
3023.0,0.47724799999999995,77564.3576188743
3024.0,0.492279,80146.95926952652
3025.0,0.419153,68360.50125899354
3026.0,0.39847899999999997,65101.99246552465
3027.0,0.481587,78816.84424077072
3028.0,0.550276,90215.16930544788
3029.0,0.539854,88660.32015233558
3030.0,0.483101,79477.49104628008
3031.0,0.452165,74517.05150204852
3032.0,0.49491,81702.75927799006
3033.0,0.552171,91313.5299330227
3034.0,0.5782229999999999,95787.141463917
3035.0,0.603755,100189.49164615734
3036.0,0.551265,91636.96679580913
3037.0,0.419943,69927.62151695098
3038.0,0.39692,66207.74399505496
3039.0,0.48084399999999994,80344.59728019286
3040.0,0.503254,84233.65706055121
3041.0,0.454355,76179.64614463694
3042.0,0.428149,71908.96988510623
3043.0,0.462728,77849.83268079696
3044.0,0.518239,87338.3622319124
3045.0,0.56219,94907.46920294568
3046.0,0.5400659999999999,91328.3722604493
3047.0,0.43462,73622.31529078505
3048.0,0.396661,67306.87539345595
3049.0,0.46843999999999997,79622.04800192325
3050.0,0.5231520000000001,89072.98122257472
3051.0,0.5601430000000001,95533.3528798506
3052.0,0.592363,101200.18895608175
3053.0,0.535863,91703.04297432816
3054.0,0.46347,79448.82254413894
3055.0,0.47001000000000004,80706.41988445361
3056.0,0.45953999999999995,79042.14873081642
3057.0,0.37199099999999996,64091.66756720629
3058.0,0.296921,51244.004678418016
3059.0,0.300068,51874.52450970631
3060.0,0.37941199999999997,65701.77386096153
3061.0,0.477445,82817.1459386356
3062.0,0.516404,89725.66305956992
3063.0,0.467046,81286.08299469344
3064.0,0.389191,67849.72337142729
3065.0,0.36395,63555.7814641288
3066.0,0.340917,59633.36799894509
3067.0,0.31404499999999996,55024.892066879074
3068.0,0.354838,62276.38149394973
3069.0,0.440046,77360.01643744661
3070.0,0.492087,86653.25740025607
3071.0,0.48047700000000004,84749.94550496334
3072.0,0.429727,75924.61319572186
3073.0,0.424051,75046.50300005061
3074.0,0.44532700000000003,78942.90742491117
3075.0,0.42291000000000006,75093.62466656933
3076.0,0.436309,77601.40949343912
3077.0,0.468021,83379.71486152393
3078.0,0.44027,78565.71907667977
3079.0,0.429072,76694.17949890149
3080.0,0.46459300000000003,83180.67352180803
3081.0,0.489704,87821.38202028524
3082.0,0.493359,88622.87247647678
3083.0,0.49384799999999995,88856.97519254535
3084.0,0.5310729999999999,95712.1814344514
3085.0,0.583041,105250.98362403884
3086.0,0.533655,96494.16105038625
3087.0,0.397099,71920.3744003353
3088.0,0.32479600000000003,58921.77528926257
3089.0,0.336345,61116.917807264144
3090.0,0.355948,64784.87935682705
3091.0,0.366645,66840.97961523556
3092.0,0.35588200000000003,64984.87949055285
