wl,flux,bflux
3000.0,0.8522270000000001,167409.33660157165
3001.0,0.779261,153337.68392907828
3002.0,0.740165,145893.2971532523
3003.0,0.7370260000000001,145522.35215091653
3004.0,0.7888069999999999,156011.64728734468
3005.0,0.827651,163972.92642974734
3006.0,0.809954,160739.703665597
3007.0,0.779485,154955.7675420565
3008.0,0.78027,155375.0699451319
3009.0,0.817183,163001.44949490554
3010.0,0.844565,168748.61209770467
3011.0,0.8434219999999999,168805.3917916062
3012.0,0.8210569999999999,164606.97342413844
3013.0,0.815841,163837.47838733648
3014.0,0.833482,167662.5374866063
3015.0,0.8318209999999999,167610.43250661474
3016.0,0.8176140000000001,165025.14351021894
3017.0,0.801579,162060.8234578818
3018.0,0.775835,157119.56457687393
3019.0,0.738744,149859.17348440527
3020.0,0.682875,138758.09440187443
3021.0,0.6618850000000001,134718.32666403957
3022.0,0.7159220000000001,145960.77403434218
3023.0,0.7678159999999999,156802.5777254237
3024.0,0.7781399999999999,159176.3911279809
3025.0,0.765001,156749.82811157513
3026.0,0.7635649999999999,156716.42819848823
3027.0,0.790967,162610.88102736222
3028.0,0.816804,168201.98103140845
3029.0,0.8216030000000001,169471.45811428723
3030.0,0.811051,167572.7128131464
3031.0,0.809454,167520.20075484904
3032.0,0.825895,171206.01240872504
3033.0,0.848076,176095.15300938327
3034.0,0.865203,179948.56604294758
3035.0,0.8811969999999999,183577.90926038355
3036.0,0.8639129999999999,180274.2705023669
3037.0,0.816984,170762.6594783964
3038.0,0.812533,170112.12972674242
3039.0,0.843699,176927.77547728093
3040.0,0.837132,175839.29379878473
3041.0,0.806276,169636.19427645387
3042.0,0.8075359999999999,170180.10133727774
3043.0,0.839957,177302.69401707462
3044.0,0.859991,181828.8870860997
3045.0,0.8673200000000001,183678.50169463415
3046.0,0.866347,183772.33581158725
3047.0,0.8382059999999999,178093.31508334787
3048.0,0.8204899999999999,174613.58938529258
3049.0,0.833109,177588.06313384892
3050.0,0.8306680000000001,177356.01609674995
3051.0,0.826239,176697.3102935008
3052.0,0.8343649999999999,178725.05286435082
3053.0,0.804806,172673.21496162476
3054.0,0.75416,162069.38463426416
3055.0,0.74205,159725.28977366732
3056.0,0.745287,160681.69151656225
3057.0,0.729658,157566.48234150343
3058.0,0.724662,156740.39267409535
3059.0,0.747474,161935.39833278005
3060.0,0.787963,170982.2782479553
3061.0,0.8254959999999999,179415.15741139906
3062.0,0.8346399999999999,181694.40180985027
3063.0,0.808533,176294.03172019095
3064.0,0.76646,167388.7151149541
3065.0,0.742917,162507.38904255215
3066.0,0.712487,156100.82974293362
3067.0,0.697259,153009.06522438224
3068.0,0.726304,159637.73310343205
3069.0,0.775791,170787.1743547241
3070.0,0.8115979999999999,178955.15060523723
3071.0,0.805925,177987.66239984092
3072.0,0.785672,173791.24873940315
3073.0,0.800501,177353.26307398494
3074.0,0.81691,181276.50301216214
3075.0,0.800168,177843.4198069994
3076.0,0.80092,178293.04503619528
3077.0,0.808316,180224.7385208293
3078.0,0.796283,177823.01182375412
3079.0,0.797972,178482.1480536531
3080.0,0.802554,179790.74588911212
3081.0,0.7955810000000001,178510.07749596972
3082.0,0.797227,179161.59763955572
3083.0,0.806055,181431.01232125072
3084.0,0.814925,183716.31963575626
3085.0,0.8122159999999999,183393.61575442605
3086.0,0.756649,171115.37833763153
3087.0,0.6669229999999999,151060.70659884159
3088.0,0.633209,143649.28355049522
3089.0,0.649877,147661.5601661178
3090.0,0.6625800000000001,150783.50748485784
3091.0,0.656381,149606.3704429247
3092.0,0.634221,144781.34415472884
3093.0,0.631961,144490.5683678312
3094.0,0.672068,153900.13831749914
3095.0,0.709563,162739.3816255379
3096.0,0.702338,161332.9634039259
3097.0,0.682825,157094.48540886023
3098.0,0.680521,156807.55333315348
3099.0,0.664771,153416.04130600873
3100.0,0.642618,148533.42390521258
3101.0,0.65393,151382.09382323147
